6	"best of our knowledge"	local:of_ourknowledge	"best"
6	"best of our knowledge"	local:best_of	"our knowledge"
6	"first study to best of based approach"	local:of_basedapproach	"first study to best"
6	"first study to best of based approach"	local:firststudytobest_of	"based approach"
6	"structured summary of news articles"	local:of_newsarticles	"structured summary"
6	"structured summary of news articles"	local:structuredsummary_of	"news articles"
6	"news articles with answer pairs"	local:with_answerpairs	"news articles"
6	"news articles with answer pairs"	local:newsarticles_with	"answer pairs"
6	"interesting aspects of news story"	local:of_newsstory	"interesting aspects"
6	"interesting aspects of news story"	local:interestingaspects_of	"news story"
7	"salient aspects"	rdfs:subClassOf	"aspects"
7	"news"	local:partOf	"news articles"
7	"news articles"	rdfs:subClassOf	"articles"
7	"answer"	local:partOf	"answer pairs"
7	"first"	local:partOf	"first study"
7	"news story"	rdfs:subClassOf	"story"
7	"news"	local:partOf	"news story"
7	"salient"	local:partOf	"salient aspects"
7	"answer pairs"	rdfs:subClassOf	"pairs"
7	"first study"	rdfs:subClassOf	"study"
7	"structured summary"	rdfs:subClassOf	"summary"
7	"structured"	local:partOf	"structured summary"
7	"based approach"	rdfs:subClassOf	"approach"
7	"our knowledge"	rdfs:subClassOf	"knowledge"
7	"first study to best"	local:to_best	"first study"
7	"first study to best"	local:firststudy_to	"best"
7	"best of our knowledge"	local:of_ourknowledge	"best"
7	"best of our knowledge"	local:best_of	"our knowledge"
7	"first study to best of based approach"	local:of_basedapproach	"first study to best"
7	"first study to best of based approach"	local:firststudytobest_of	"based approach"
7	"structured summary of news articles"	local:of_newsarticles	"structured summary"
7	"structured summary of news articles"	local:structuredsummary_of	"news articles"
7	"news articles with answer pairs"	local:with_answerpairs	"news articles"
7	"news articles with answer pairs"	local:newsarticles_with	"answer pairs"
7	"salient aspects of news story"	local:of_newsstory	"salient aspects"
7	"salient aspects of news story"	local:salientaspects_of	"news story"
8	"article attention"	rdfs:subClassOf	"attention"
8	"news article attention map"	rdfs:subClassOf	"map"
8	"news article attention"	rdfs:subClassOf	"attention"
8	"news article"	local:partOf	"news article attention"
8	"learning-based"	local:partOf	"learning-based approach"
8	"news article"	rdfs:subClassOf	"article"
8	"article attention map"	rdfs:subClassOf	"map"
8	"attention map"	rdfs:subClassOf	"map"
8	"news article attention"	local:partOf	"news article attention map"
8	"attention"	local:partOf	"attention map"
8	"article"	local:partOf	"article attention"
8	"article attention"	local:partOf	"article attention map"
8	"news"	local:partOf	"news article"
8	"learning-based approach"	rdfs:subClassOf	"approach"
8	"article attention map"	rdfs:subClassOf	"attention map"
8	"news article attention map"	rdfs:subClassOf	"article attention map"
8	"specifically predicts"	rdfs:subClassOf	"predicts"
9	"learning-based"	local:partOf	"learning-based approach"
9	"news"	local:partOf	"news article"
9	"news article"	rdfs:subClassOf	"article"
9	"learning-based approach"	rdfs:subClassOf	"approach"
9	"specifically reads"	rdfs:subClassOf	"reads"
10	"learning-based"	local:partOf	"learning-based approach"
10	"learning-based approach"	rdfs:subClassOf	"approach"
10	"specifically generates"	rdfs:subClassOf	"generates"
10	"corresponding to snippet"	local:to_snippet	"corresponding"
10	"corresponding to snippet"	local:corresponding_to	"snippet"
11	"weak supervision"	rdfs:subClassOf	"supervision"
11	"supervision data"	rdfs:subClassOf	"data"
11	"weak supervision data"	rdfs:subClassOf	"data"
11	"mining-based"	local:partOf	"mining-based approach"
11	"weak supervision"	local:partOf	"weak supervision data"
11	"supervision"	local:partOf	"supervision data"
11	"weak"	local:partOf	"weak supervision"
11	"mining-based approach"	rdfs:subClassOf	"approach"
11	"based approach"	rdfs:subClassOf	"approach"
11	"weak supervision data"	rdfs:subClassOf	"supervision data"
11	"furthermore describe"	rdfs:subClassOf	"describe"
11	"mining-based approach as mechanism"	local:as_mechanism	"mining-based approach"
11	"mining-based approach as mechanism"	local:mining-basedapproach_as	"mechanism"
11	"weak supervision data for mining-based approach as mechanism"	local:for_mining-basedapproachasmechanism	"weak supervision data"
11	"weak supervision data for mining-based approach as mechanism"	local:weaksupervisiondata_for	"mining-based approach as mechanism"
12	"squad dataset"	rdfs:subClassOf	"dataset"
12	"squad"	local:partOf	"squad dataset"
12	"existing squad dataset"	rdfs:subClassOf	"squad dataset"
12	"approach on existing squad dataset"	local:on_existingSQuADdataset	"approach"
12	"approach on existing squad dataset"	local:approach_on	"existing squad dataset"
13	"large"	local:partOf	"large dataset"
13	"news"	local:partOf	"news articles"
13	"large dataset"	rdfs:subClassOf	"dataset"
13	"news articles"	rdfs:subClassOf	"articles"
13	"91k news articles"	rdfs:subClassOf	"news articles"
13	"approach on large dataset"	local:on_largedataset	"approach"
13	"approach on large dataset"	local:approach_on	"large dataset"
13	"large dataset with 91k news articles"	local:with_91Knewsarticles	"large dataset"
13	"large dataset with 91k news articles"	local:largedataset_with	"91k news articles"
14	"question summarization"	rdfs:subClassOf	"summarization"
14	"question"	local:partOf	"question summarization"
14	"bleu-4"	local:partOf	"bleu-4 score"
14	"state-of-art"	local:partOf	"state-of-art baselines"
14	"bleu-4 score"	rdfs:subClassOf	"score"
14	"state-of-art baselines"	rdfs:subClassOf	"baselines"
14	"can achieve"	rdfs:subClassOf	"achieve"
