0	"use of blogs"	local:of_blogs	"use"
6	"user ’ s"	rdfs:member	"user ’ s interests"
6	"s"	rdfs:member	"s interests"
6	"user interests"	rdfs:subClassOf	"interests"
6	"express"	vn.role:Agent	"user interests"
7	"bottom-up"	rdfs:member	"bottom-up approach"
7	"bottom-up approach"	rdfs:subClassOf	"approach"
7	"next users"	rdfs:subClassOf	"users"
7	"next users with bottom-up approach"	local:with_bottom-upapproach	"next users"
7	"next users with bottom-up approach"	local:nextusers_with	"bottom-up approach"
7	"modify"	vn.role:Agent	"next users with bottom-up approach"
7	"interest"	rdfs:member	"interest ontologies"
7	"users"	rdfs:member	"users interest"
7	"users interest"	rdfs:member	"users interest ontologies"
7	"interest ontologies"	rdfs:subClassOf	"ontologies"
7	"users interest ontologies"	rdfs:subClassOf	"ontologies"
7	"users interest"	rdfs:subClassOf	"interest"
7	"users interest ontologies"	rdfs:subClassOf	"interest ontologies"
7	"modify"	vn.role:Patient	"users interest ontologies"
7	"update users"	rdfs:member	"update users interests"
7	"update"	rdfs:member	"update users"
7	"users"	rdfs:member	"users interests"
7	"users interests"	rdfs:subClassOf	"interests"
7	"more"	rdfs:member	"more detail"
7	"update users interests"	rdfs:subClassOf	"interests"
7	"update users"	rdfs:subClassOf	"users"
7	"more detail"	rdfs:subClassOf	"detail"
7	"users interests in more detail"	local:in_moredetail	"users interests"
7	"users interests in more detail"	local:usersinterests_in	"more detail"
7	"modify"	local:AM-PNC	"update"
7	"interest"	rdfs:member	"interest ontologies"
7	"users"	rdfs:member	"users interest"
7	"users interest"	rdfs:member	"users interest ontologies"
7	"interest ontologies"	rdfs:subClassOf	"ontologies"
7	"users interest ontologies"	rdfs:subClassOf	"ontologies"
7	"users interest"	rdfs:subClassOf	"interest"
7	"users interest ontologies"	rdfs:subClassOf	"interest ontologies"
7	"update"	vn.role:Agent	"users interest ontologies"
7	"more detail"	rdfs:subClassOf	"detail"
7	"users interests"	rdfs:subClassOf	"interests"
7	"more"	rdfs:member	"more detail"
7	"users"	rdfs:member	"users interests"
7	"users interests in more detail"	local:in_moredetail	"users interests"
7	"users interests in more detail"	local:usersinterests_in	"more detail"
7	"update"	vn.role:Predicate	"users interests in more detail"
8	"interest weight"	rdfs:subClassOf	"weight"
8	"interest"	rdfs:member	"interest weight"
8	"assigned"	vn.role:Theme	"interest weight"
8	"assigned"	vn.role:Recipient	"class"
9	"propose"	vn.role:Agent	"we"
9	"similarity"	rdfs:member	"similarity measurement"
9	"similarity measurement"	rdfs:subClassOf	"measurement"
9	"similarity measurement between ontologies"	local:between_ontologies	"similarity measurement"
9	"similarity measurement between ontologies"	local:similaritymeasurement_between	"ontologies"
9	"propose"	vn.role:Topic	"similarity measurement between ontologies"
10	"considering"	vn.role:Agent	"ontologies"
10	"interest weight"	rdfs:subClassOf	"weight"
10	"interest"	rdfs:member	"interest weight"
10	"considering"	vn.role:Theme	"interest weight"
11	"detect"	vn.role:Experiencer	"we"
11	"innovative blog entries"	rdfs:subClassOf	"entries"
11	"blog entries"	rdfs:subClassOf	"entries"
11	"innovative blog"	rdfs:member	"innovative blog entries"
11	"blog"	rdfs:member	"blog entries"
11	"innovative"	rdfs:member	"innovative blog"
11	"innovative blog"	rdfs:subClassOf	"blog"
11	"innovative blog entries"	rdfs:subClassOf	"blog entries"
11	"detect"	vn.role:Stimulus	"innovative blog entries"
12	"user"	rdfs:member	"user ’"
12	"’"	rdfs:member	"’ s"
12	"user ’ s"	rdfs:subClassOf	"s"
12	"approximated ontologies"	rdfs:subClassOf	"ontologies"
12	"’ s"	rdfs:subClassOf	"s"
12	"’ s interests"	rdfs:subClassOf	"interests"
12	"user ’"	rdfs:subClassOf	"’"
12	"user ’ s interests"	rdfs:subClassOf	"interests"
12	"s interests"	rdfs:subClassOf	"interests"
12	"approximated"	rdfs:member	"approximated ontologies"
12	"’ s"	rdfs:member	"’ s interests"
12	"user ’"	rdfs:member	"user ’ s"
12	"user ’ s"	rdfs:member	"user ’ s interests"
12	"s"	rdfs:member	"s interests"
12	"user interests"	rdfs:subClassOf	"interests"
12	"analysis of approximated ontologies"	local:of_approximatedontologies	"analysis"
12	"analysis of approximated ontologies"	local:analysis_of	"approximated ontologies"
12	"approximated ontologies of user interests"	local:of_userinterests	"approximated ontologies"
12	"approximated ontologies of user interests"	local:approximatedontologies_of	"user interests"
12	"based"	vn.role:indirect_object	"analysis of approximated ontologies"
12	"approximated"	vn.role:Theme	"ontologies"
13	"innovative blog entries"	rdfs:subClassOf	"entries"
13	"blog entries"	rdfs:subClassOf	"entries"
13	"innovative blog"	rdfs:member	"innovative blog entries"
13	"blog"	rdfs:member	"blog entries"
13	"innovative"	rdfs:member	"innovative blog"
13	"innovative blog"	rdfs:subClassOf	"blog"
13	"innovative blog entries"	rdfs:subClassOf	"blog entries"
13	"include"	vn.role:Location	"innovative blog entries"
13	"not thought"	rdfs:subClassOf	"thought"
13	"has not thought"	rdfs:subClassOf	"not thought"
13	"about in past"	local:in_past	"about"
13	"about in past"	local:about_in	"past"
13	"include"	vn.role:Theme	"concepts"
13	"thought"	vn.role:Theme	"concepts"
13	"thought"	vn.role:Agent	"user"
13	"thought"	local:AM-NEG	"not"
13	"thought"	vn.role:Theme	"past"
14	"experimental results"	rdfs:subClassOf	"results"
14	"experimental"	rdfs:member	"experimental results"
14	"demonstrate"	vn.role:Recipient	"experimental results"
14	"blog entries"	rdfs:subClassOf	"entries"
14	"large-scale blog"	rdfs:subClassOf	"blog"
14	"blog"	rdfs:member	"blog entries"
14	"large-scale blog entries"	rdfs:subClassOf	"entries"
14	"large-scale blog"	rdfs:member	"large-scale blog entries"
14	"large-scale"	rdfs:member	"large-scale blog"
14	"large-scale blog entries"	rdfs:subClassOf	"blog entries"
14	"methods using"	local:_using	"methods"
14	"methods using"	local:methods_	"using"
14	"demonstrate"	vn.role:Cause	"performance"
14	"experimental results"	rdfs:subClassOf	"results"
14	"experimental"	rdfs:member	"experimental results"
14	"performance of we"	local:of_we	"performance"
14	"performance of we"	local:performance_of	"we"
14	"proposed"	vn.role:Agent	"experimental results"
14	"blog entries"	rdfs:subClassOf	"entries"
14	"large-scale blog"	rdfs:subClassOf	"blog"
14	"blog"	rdfs:member	"blog entries"
14	"large-scale blog entries"	rdfs:subClassOf	"entries"
14	"large-scale blog"	rdfs:member	"large-scale blog entries"
14	"large-scale"	rdfs:member	"large-scale blog"
14	"large-scale blog entries"	rdfs:subClassOf	"blog entries"
14	"methods using"	local:_using	"methods"
14	"methods using"	local:methods_	"using"
14	"proposed"	vn.role:Topic	"methods using"
14	"blog entries"	rdfs:subClassOf	"entries"
14	"large-scale blog"	rdfs:subClassOf	"blog"
14	"blog"	rdfs:member	"blog entries"
14	"large-scale blog entries"	rdfs:subClassOf	"entries"
14	"large-scale blog"	rdfs:member	"large-scale blog entries"
14	"large-scale"	rdfs:member	"large-scale blog"
14	"large-scale blog entries"	rdfs:subClassOf	"blog entries"
