6	"largest collection of identity links"	local:of_identitylinks	"largest collection"
6	"largest collection of identity links"	local:largestcollection_of	"identity links"
6	"identity links to date"	local:to_date	"identity links"
6	"identity links to date"	local:identitylinks_to	"date"
6	"containing over 558m owl"	local:over_558mowl	"containing"
6	"containing over 558m owl"	local:containing_over	"558m owl"
6	"scraped from lod cloud"	local:from_lodcloud	"scraped"
6	"scraped from lod cloud"	local:scraped_from	"lod cloud"
6	"presented"	vn.role:Theme	"evaluated on largest collection"
6	"scale,"	vn.role:subject	"here"
6	"sameas"	rdfs:member	"sameas links"
6	"largest"	rdfs:member	"largest collection"
6	"largest collection"	rdfs:subClassOf	"collection"
6	"lod cloud"	rdfs:subClassOf	"cloud"
6	"identity links"	rdfs:subClassOf	"links"
6	"sameas links"	rdfs:subClassOf	"links"
6	"identity"	rdfs:member	"identity links"
6	"lod"	rdfs:member	"lod cloud"
6	"558m owl"	rdfs:subClassOf	"owl"
6	"evaluated on largest collection"	local:on_largestcollection	"evaluated"
6	"evaluated on largest collection"	local:evaluated_on	"largest collection"
6	"largest collection of identity links"	local:of_identitylinks	"largest collection"
6	"largest collection of identity links"	local:largestcollection_of	"identity links"
6	"identity links to date"	local:to_date	"identity links"
6	"identity links to date"	local:identitylinks_to	"date"
6	"containing over 558m owl"	local:over_558mowl	"containing"
6	"containing over 558m owl"	local:containing_over	"558m owl"
6	"scraped from lod cloud"	local:from_lodcloud	"scraped"
6	"scraped from lod cloud"	local:scraped_from	"lod cloud"
6	"scale,"	vn.role:object	"evaluated on largest collection"
6	"approach ability"	rdfs:subClassOf	"ability"
6	"approach"	rdfs:member	"approach ability"
6	"presented approach ability"	rdfs:subClassOf	"approach ability"
6	"here presented"	rdfs:subClassOf	"presented"
6	"presented approach ability to scale"	local:to_scale	"presented approach ability"
6	"presented approach ability to scale"	local:presentedapproachability_to	"scale"
6	"evaluated"	local:AM-PNC	"approach"
6	"sameas"	rdfs:member	"sameas links"
6	"largest"	rdfs:member	"largest collection"
6	"largest collection"	rdfs:subClassOf	"collection"
6	"lod cloud"	rdfs:subClassOf	"cloud"
6	"identity links"	rdfs:subClassOf	"links"
6	"sameas links"	rdfs:subClassOf	"links"
6	"identity"	rdfs:member	"identity links"
6	"lod"	rdfs:member	"lod cloud"
6	"558m owl"	rdfs:subClassOf	"owl"
6	"largest collection of identity links"	local:of_identitylinks	"largest collection"
6	"largest collection of identity links"	local:largestcollection_of	"identity links"
6	"identity links to date"	local:to_date	"identity links"
6	"identity links to date"	local:identitylinks_to	"date"
6	"largest collection of identity links containing"	local:_containing	"largest collection of identity links"
6	"largest collection of identity links containing"	local:largestcollectionofidentitylinks_	"containing"
6	"containing over 558m owl"	local:over_558mowl	"containing"
6	"containing over 558m owl"	local:containing_over	"558m owl"
6	"scraped from lod cloud"	local:from_lodcloud	"scraped"
6	"scraped from lod cloud"	local:scraped_from	"lod cloud"
6	"evaluated"	local:AM-LOC	"largest collection of identity links containing"
6	"identity"	rdfs:member	"identity links"
6	"identity links"	rdfs:subClassOf	"links"
6	"largest collection"	rdfs:subClassOf	"collection"
6	"largest"	rdfs:member	"largest collection"
6	"largest collection of identity links"	local:of_identitylinks	"largest collection"
6	"largest collection of identity links"	local:largestcollection_of	"identity links"
6	"containing"	vn.role:Theme2	"largest collection of identity links"
6	"containing"	vn.role:Theme1	"date"
6	"sameas"	rdfs:member	"sameas links"
6	"sameas links"	rdfs:subClassOf	"links"
6	"lod cloud"	rdfs:subClassOf	"cloud"
6	"lod"	rdfs:member	"lod cloud"
6	"558m owl"	rdfs:subClassOf	"owl"
6	"scraped from lod cloud"	local:from_lodcloud	"scraped"
6	"scraped from lod cloud"	local:scraped_from	"lod cloud"
6	"containing"	vn.role:Theme2	"558m owl"
6	"sameas"	rdfs:member	"sameas links"
6	"sameas links"	rdfs:subClassOf	"links"
6	"558m owl"	rdfs:subClassOf	"owl"
6	"scraped"	vn.role:Actor1	"558m owl"
6	"lod"	rdfs:member	"lod cloud"
6	"lod cloud"	rdfs:subClassOf	"cloud"
6	"scraped"	vn.role:Topic	"lod cloud"
