6	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
6	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
6	"evaluate"	local:AM-MNR	"relevance libraries terms"
6	"libraries"	rdfs:member	"libraries relevance"
6	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
6	"ontology"	rdfs:member	"ontology libraries"
6	"knowledge engineer"	rdfs:subClassOf	"engineer"
6	"ontology libraries"	rdfs:subClassOf	"libraries"
6	"libraries relevance"	rdfs:subClassOf	"relevance"
6	"knowledge"	rdfs:member	"knowledge engineer"
6	"ontology libraries"	rdfs:member	"ontology libraries relevance"
6	"relevance libraries"	rdfs:subClassOf	"libraries"
6	"relevance libraries terms"	rdfs:subClassOf	"terms"
6	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
6	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
6	"existing ontologies"	rdfs:subClassOf	"ontologies"
6	"existing ontologies in relevance libraries terms"	local:in_relevancelibrariesterms	"existing ontologies"
6	"existing ontologies in relevance libraries terms"	local:existingontologies_in	"relevance libraries terms"
6	"relevance to needs"	local:to_needs	"relevance"
6	"relevance to needs"	local:relevance_to	"needs"
6	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
6	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
6	"rank"	vn.role:Theme	"existing ontologies in relevance libraries terms"
6	"existing"	vn.role:Location	"ontologies"
7	"existing ontologies"	rdfs:subClassOf	"ontologies"
7	"evaluate"	vn.role:Theme	"existing ontologies"
7	"search engines"	rdfs:subClassOf	"engines"
7	"search"	rdfs:member	"search engines"
7	"engines terms"	rdfs:subClassOf	"terms"
7	"a search engines"	rdfs:subClassOf	"search engines"
7	"evaluate"	local:AM-MNR	"engines terms"
7	"knowledge engineer"	rdfs:subClassOf	"engineer"
7	"knowledge"	rdfs:member	"knowledge engineer"
7	"relevance to needs"	local:to_needs	"relevance"
7	"relevance to needs"	local:relevance_to	"needs"
7	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
7	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
7	"evaluate"	vn.role:Theme	"relevance to needs"
7	"engines relevance"	rdfs:subClassOf	"relevance"
7	"knowledge engineer"	rdfs:subClassOf	"engineer"
7	"search engines"	rdfs:subClassOf	"engines"
7	"engines"	rdfs:member	"engines relevance"
7	"search engines"	rdfs:member	"search engines relevance"
7	"knowledge"	rdfs:member	"knowledge engineer"
7	"search"	rdfs:member	"search engines"
7	"search engines relevance"	rdfs:subClassOf	"relevance"
7	"relevance terms"	rdfs:subClassOf	"terms"
7	"search engines relevance"	rdfs:subClassOf	"engines relevance"
7	"a search engines relevance"	rdfs:subClassOf	"search engines relevance"
7	"existing ontologies"	rdfs:subClassOf	"ontologies"
7	"existing ontologies in relevance terms"	local:in_relevanceterms	"existing ontologies"
7	"existing ontologies in relevance terms"	local:existingontologies_in	"relevance terms"
7	"a search engines relevance to needs"	local:to_needs	"a search engines relevance"
7	"a search engines relevance to needs"	local:asearchenginesrelevance_to	"needs"
7	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
7	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
7	"rank"	vn.role:Theme	"existing ontologies in relevance terms"
7	"existing"	vn.role:Location	"ontologies"
8	"existing ontologies"	rdfs:subClassOf	"ontologies"
8	"evaluate"	vn.role:Theme	"existing ontologies"
8	"libraries"	rdfs:member	"libraries relevance"
8	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
8	"ontology"	rdfs:member	"ontology libraries"
8	"knowledge engineer"	rdfs:subClassOf	"engineer"
8	"ontology libraries"	rdfs:subClassOf	"libraries"
8	"libraries relevance"	rdfs:subClassOf	"relevance"
8	"knowledge"	rdfs:member	"knowledge engineer"
8	"ontology libraries"	rdfs:member	"ontology libraries relevance"
8	"relevance libraries"	rdfs:subClassOf	"libraries"
8	"relevance libraries terms"	rdfs:subClassOf	"terms"
8	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
8	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
8	"relevance to needs"	local:to_needs	"relevance"
8	"relevance to needs"	local:relevance_to	"needs"
8	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
8	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
8	"evaluate"	local:AM-MNR	"relevance libraries terms"
8	"libraries"	rdfs:member	"libraries relevance"
8	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
8	"ontology"	rdfs:member	"ontology libraries"
8	"knowledge engineer"	rdfs:subClassOf	"engineer"
8	"ontology libraries"	rdfs:subClassOf	"libraries"
8	"libraries relevance"	rdfs:subClassOf	"relevance"
8	"knowledge"	rdfs:member	"knowledge engineer"
8	"ontology libraries"	rdfs:member	"ontology libraries relevance"
8	"relevance libraries"	rdfs:subClassOf	"libraries"
8	"relevance libraries terms"	rdfs:subClassOf	"terms"
8	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
8	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
8	"existing ontologies"	rdfs:subClassOf	"ontologies"
8	"existing ontologies in relevance libraries terms"	local:in_relevancelibrariesterms	"existing ontologies"
8	"existing ontologies in relevance libraries terms"	local:existingontologies_in	"relevance libraries terms"
8	"relevance to needs"	local:to_needs	"relevance"
8	"relevance to needs"	local:relevance_to	"needs"
8	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
8	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
8	"rank"	vn.role:Theme	"existing ontologies in relevance libraries terms"
8	"existing"	vn.role:Location	"ontologies"
9	"existing ontologies"	rdfs:subClassOf	"ontologies"
9	"evaluate"	vn.role:Theme	"existing ontologies"
9	"search engines"	rdfs:subClassOf	"engines"
9	"search"	rdfs:member	"search engines"
9	"engines terms"	rdfs:subClassOf	"terms"
9	"a search engines"	rdfs:subClassOf	"search engines"
9	"evaluate"	local:AM-MNR	"engines terms"
9	"knowledge engineer"	rdfs:subClassOf	"engineer"
9	"knowledge"	rdfs:member	"knowledge engineer"
9	"relevance to needs"	local:to_needs	"relevance"
9	"relevance to needs"	local:relevance_to	"needs"
9	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
9	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
9	"evaluate"	vn.role:Theme	"relevance to needs"
9	"engines relevance"	rdfs:subClassOf	"relevance"
9	"knowledge engineer"	rdfs:subClassOf	"engineer"
9	"search engines"	rdfs:subClassOf	"engines"
9	"engines"	rdfs:member	"engines relevance"
9	"search engines"	rdfs:member	"search engines relevance"
9	"knowledge"	rdfs:member	"knowledge engineer"
9	"search"	rdfs:member	"search engines"
9	"search engines relevance"	rdfs:subClassOf	"relevance"
9	"relevance terms"	rdfs:subClassOf	"terms"
9	"search engines relevance"	rdfs:subClassOf	"engines relevance"
9	"a search engines relevance"	rdfs:subClassOf	"search engines relevance"
9	"existing ontologies"	rdfs:subClassOf	"ontologies"
9	"existing ontologies in relevance terms"	local:in_relevanceterms	"existing ontologies"
9	"existing ontologies in relevance terms"	local:existingontologies_in	"relevance terms"
9	"a search engines relevance to needs"	local:to_needs	"a search engines relevance"
9	"a search engines relevance to needs"	local:asearchenginesrelevance_to	"needs"
9	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
9	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
9	"rank"	vn.role:Theme	"existing ontologies in relevance terms"
9	"existing"	vn.role:Location	"ontologies"
11	"ranking ontologies"	rdfs:subClassOf	"ontologies"
11	"based"	vn.role:Cause	"ranking ontologies"
11	"structural metrics"	rdfs:subClassOf	"metrics"
11	"structural"	rdfs:member	"structural metrics"
11	"number of structural metrics"	local:of_structuralmetrics	"number"
11	"number of structural metrics"	local:number_of	"structural metrics"
11	"based"	vn.role:indirect_object	"number of structural metrics"
12	"presents"	vn.role:Agent	"paper"
12	"presents"	vn.role:Theme	"aktiverank"
13	"presents"	vn.role:Agent	"paper"
13	"prototype"	rdfs:member	"prototype system"
13	"prototype system"	rdfs:subClassOf	"system"
13	"ranking ontologies"	rdfs:subClassOf	"ontologies"
13	"prototype system for ranking ontologies"	local:for_rankingontologies	"prototype system"
13	"prototype system for ranking ontologies"	local:prototypesystem_for	"ranking ontologies"
13	"presents"	vn.role:Theme	"prototype system for ranking ontologies"
