9	"’ s query"	rdfs:member	"’ s query context"
9	"user ’"	rdfs:subClassOf	"’"
9	"user"	rdfs:member	"user ’"
9	"user ’ s query"	rdfs:subClassOf	"query"
9	"query context"	rdfs:subClassOf	"context"
9	"user query context"	rdfs:subClassOf	"query context"
9	"based"	vn.role:indirect_object	"user query context"
10	"propose"	local:AM-LOC	"paper"
10	"propose"	vn.role:Agent	"we"
10	"query interpretation"	rdfs:subClassOf	"interpretation"
10	"keyword query interpretation"	rdfs:subClassOf	"interpretation"
10	"context-aware"	rdfs:member	"context-aware approach"
10	"keyword query"	rdfs:member	"keyword query interpretation"
10	"keyword"	rdfs:member	"keyword query"
10	"keyword query"	rdfs:subClassOf	"query"
10	"context-aware approach"	rdfs:subClassOf	"approach"
10	"query"	rdfs:member	"query interpretation"
10	"keyword query interpretation"	rdfs:subClassOf	"query interpretation"
10	"context-aware approach for keyword query interpretation"	local:for_keywordqueryinterpretation	"context-aware approach"
10	"context-aware approach for keyword query interpretation"	local:context-awareapproach_for	"keyword query interpretation"
10	"propose"	vn.role:Topic	"context-aware approach for keyword query interpretation"
11	"corresponding"	vn.role:Actor1	"queries"
11	"keyword"	rdfs:member	"keyword queries"
11	"keyword queries"	rdfs:subClassOf	"queries"
11	"interpretations of keyword queries"	local:of_keywordqueries	"interpretations"
11	"interpretations of keyword queries"	local:interpretations_of	"keyword queries"
11	"corresponding"	vn.role:Actor2	"interpretations of keyword queries"
12	"addresses"	vn.role:Agent	"approach"
12	"query history"	rdfs:subClassOf	"history"
12	"new"	rdfs:member	"new query"
12	"novel problem"	rdfs:subClassOf	"problem"
12	"contextual information"	rdfs:subClassOf	"information"
12	"structured queries"	rdfs:subClassOf	"queries"
12	"contextual"	rdfs:member	"contextual information"
12	"query"	rdfs:member	"query history"
12	"structured"	rdfs:member	"structured queries"
12	"novel"	rdfs:member	"novel problem"
12	"new query"	rdfs:subClassOf	"query"
12	"sequence of structured queries"	local:of_structuredqueries	"sequence"
12	"sequence of structured queries"	local:sequence_of	"structured queries"
12	"structured queries in query history"	local:in_queryhistory	"structured queries"
12	"structured queries in query history"	local:structuredqueries_in	"query history"
12	"using as contextual information"	local:as_contextualinformation	"using"
12	"using as contextual information"	local:using_as	"contextual information"
12	"interpretation of new query"	local:of_newquery	"interpretation"
12	"interpretation of new query"	local:interpretation_of	"new query"
