9	"web ontology language"	rdfs:subClassOf	"ontology language"
9	"becoming for logics"	local:for_logics	"becoming"
9	"becoming for logics"	local:becoming_for	"logics"
9	"logics such_as sroiq"	local:such_as_sroiq	"logics"
9	"logics such_as sroiq"	local:logics_such_as	"sroiq"
9	"gets"	vn.role:Patient	"difficult"
9	"becoming"	vn.role:Patient	"difficult"
9	"becoming"	vn.role:indirect_object	"undecidable"
11	"presence of disjunction"	local:of_disjunction	"presence"
11	"presence of disjunction"	local:presence_of	"disjunction"
11	"make"	vn.role:Agent	"second"
11	"standard semantic difference"	rdfs:subClassOf	"difference"
11	"standard semantic"	rdfs:member	"standard semantic difference"
11	"standard semantic"	rdfs:subClassOf	"semantic"
11	"semantic difference"	rdfs:subClassOf	"difference"
11	"standard"	rdfs:member	"standard semantic"
11	"semantic"	rdfs:member	"semantic difference"
11	"sensitive difference"	rdfs:subClassOf	"difference"
11	"too sensitive"	rdfs:subClassOf	"sensitive"
11	"semantic sensitive difference"	rdfs:subClassOf	"sensitive difference"
11	"standard semantic sensitive difference"	rdfs:subClassOf	"semantic sensitive difference"
11	"make"	vn.role:Material	"standard semantic sensitive difference"
11	"logically effectual"	rdfs:member	"logically effectual change"
11	"effectual"	rdfs:member	"effectual change"
11	"effectual change"	rdfs:subClassOf	"change"
11	"logically"	rdfs:member	"logically effectual"
11	"logically effectual change"	rdfs:subClassOf	"change"
11	"logically effectual"	rdfs:subClassOf	"effectual"
11	"always affects"	rdfs:subClassOf	"affects"
11	"logically effectual change"	rdfs:subClassOf	"effectual change"
11	"terms in ontology"	local:in_ontology	"terms"
11	"terms in ontology"	local:terms_in	"ontology"
11	"make"	vn.role:Product	"always affects"
11	"change:"	vn.role:subject	"essentially"
11	"logically effectual"	rdfs:member	"logically effectual change"
11	"effectual"	rdfs:member	"effectual change"
11	"effectual change"	rdfs:subClassOf	"change"
11	"logically"	rdfs:member	"logically effectual"
11	"logically effectual change"	rdfs:subClassOf	"change"
11	"logically effectual"	rdfs:subClassOf	"effectual"
11	"change:"	vn.role:object	"effectual change"
11	"logically effectual"	rdfs:member	"logically effectual change"
11	"effectual"	rdfs:member	"effectual change"
11	"standard semantic difference"	rdfs:subClassOf	"difference"
11	"standard semantic"	rdfs:member	"standard semantic difference"
11	"standard semantic"	rdfs:subClassOf	"semantic"
11	"semantic difference"	rdfs:subClassOf	"difference"
11	"effectual change"	rdfs:subClassOf	"change"
11	"logically"	rdfs:member	"logically effectual"
11	"logically effectual change"	rdfs:subClassOf	"change"
11	"standard"	rdfs:member	"standard semantic"
11	"logically effectual"	rdfs:subClassOf	"effectual"
11	"semantic"	rdfs:member	"semantic difference"
11	"essentially effectual change"	rdfs:subClassOf	"effectual change"
11	"too sensitive"	rdfs:subClassOf	"sensitive"
11	"standard semantic difference"	rdfs:subClassOf	"semantic difference"
11	"second make"	rdfs:subClassOf	"make"
11	"presence of disjunction"	local:of_disjunction	"presence"
11	"presence of disjunction"	local:presence_of	"disjunction"
11	"affects"	vn.role:Experiencer	"second make"
11	"affects"	local:AM-TMP	"always"
11	"terms in ontology"	local:in_ontology	"terms"
11	"terms in ontology"	local:terms_in	"ontology"
11	"affects"	vn.role:Cause	"terms in ontology"
12	"presence of negation"	local:of_negation	"presence"
12	"presence of negation"	local:presence_of	"negation"
12	"make"	vn.role:Agent	"second"
12	"logically effectual"	rdfs:member	"logically effectual change"
12	"effectual"	rdfs:member	"effectual change"
12	"standard semantic difference"	rdfs:subClassOf	"difference"
12	"standard semantic"	rdfs:member	"standard semantic difference"
12	"standard semantic"	rdfs:subClassOf	"semantic"
12	"semantic difference"	rdfs:subClassOf	"difference"
12	"effectual change"	rdfs:subClassOf	"change"
12	"logically"	rdfs:member	"logically effectual"
12	"logically effectual change"	rdfs:subClassOf	"change"
12	"standard"	rdfs:member	"standard semantic"
12	"logically effectual"	rdfs:subClassOf	"effectual"
12	"semantic"	rdfs:member	"semantic difference"
12	"always affects"	rdfs:subClassOf	"affects"
12	"essentially always affects"	rdfs:subClassOf	"always affects"
12	"sensitive difference"	rdfs:subClassOf	"difference"
12	"too sensitive"	rdfs:subClassOf	"sensitive"
12	"semantic sensitive difference"	rdfs:subClassOf	"sensitive difference"
12	"standard semantic sensitive difference"	rdfs:subClassOf	"semantic sensitive difference"
12	"terms in ontology"	local:in_ontology	"terms"
12	"terms in ontology"	local:terms_in	"ontology"
12	"make"	vn.role:Material	"standard semantic sensitive difference"
12	"change:"	vn.role:subject	"essentially"
12	"logically effectual"	rdfs:member	"logically effectual change"
12	"effectual"	rdfs:member	"effectual change"
