8	"derive dynamic user profiles"	rdfs:subClassOf	"profiles"
8	"derive"	rdfs:member	"derive dynamic"
8	"dynamic user profiles"	rdfs:subClassOf	"user profiles"
8	"annotating"	vn.role:Destination	"derive"
8	"user"	rdfs:member	"user profiles"
8	"dynamic user"	rdfs:subClassOf	"user"
8	"dynamic user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic user"	rdfs:member	"dynamic user profiles"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"dynamic"	rdfs:member	"dynamic user"
8	"dynamic user profiles"	rdfs:subClassOf	"user profiles"
8	"derive"	vn.role:Location	"dynamic user profiles"
9	"claim"	local:AM-DIS	"specifically"
9	"claim"	vn.role:Agent	"we"
9	"communication"	rdfs:member	"communication exchanges"
9	"informal"	rdfs:member	"informal communication"
9	"informal communication exchanges"	rdfs:subClassOf	"exchanges"
9	"s"	rdfs:member	"s expertise"
9	"people ’"	rdfs:subClassOf	"’"
9	"informal communication"	rdfs:member	"informal communication exchanges"
9	"informal communication"	rdfs:subClassOf	"communication"
9	"people"	rdfs:member	"people ’"
9	"s expertise"	rdfs:subClassOf	"expertise"
9	"communication exchanges"	rdfs:subClassOf	"exchanges"
9	"informal communication exchanges"	rdfs:subClassOf	"communication exchanges"
9	"people expertise"	rdfs:subClassOf	"expertise"
9	"automatically model"	rdfs:subClassOf	"model"
9	"claim"	vn.role:Topic	"possible"
9	"model"	local:AM-MNR	"automatically"
9	"s expertise"	rdfs:subClassOf	"expertise"
9	"s"	rdfs:member	"s expertise"
9	"people expertise"	rdfs:subClassOf	"expertise"
9	"model"	vn.role:Theme	"people expertise"
9	"communication"	rdfs:member	"communication exchanges"
9	"informal communication exchanges"	rdfs:subClassOf	"exchanges"
9	"informal"	rdfs:member	"informal communication"
9	"informal communication"	rdfs:member	"informal communication exchanges"
9	"informal communication"	rdfs:subClassOf	"communication"
9	"communication exchanges"	rdfs:subClassOf	"exchanges"
9	"informal communication exchanges"	rdfs:subClassOf	"communication exchanges"
9	"model"	vn.role:Agent	"monitoring"
9	"communication"	rdfs:member	"communication exchanges"
9	"informal communication exchanges"	rdfs:subClassOf	"exchanges"
9	"informal"	rdfs:member	"informal communication"
9	"informal communication"	rdfs:member	"informal communication exchanges"
9	"informal communication"	rdfs:subClassOf	"communication"
9	"communication exchanges"	rdfs:subClassOf	"exchanges"
9	"informal communication exchanges"	rdfs:subClassOf	"communication exchanges"
9	"monitoring"	vn.role:Location	"informal communication exchanges"
10	"used"	vn.role:Theme	"profiles"
10	"used"	local:AM-TMP	"then"
10	"calculate similarity"	rdfs:subClassOf	"similarity"
10	"calculate"	rdfs:member	"calculate similarity"
10	"similarity between people"	local:between_people	"similarity"
10	"similarity between people"	local:similarity_between	"people"
10	"used"	vn.role:Recipient	"calculate"
10	"calculate"	vn.role:Agent	"profiles"
10	"similarity between people"	local:between_people	"similarity"
10	"similarity between people"	local:similarity_between	"people"
10	"calculate"	vn.role:Predicate	"similarity between people"
11	"used"	vn.role:Theme	"profiles"
11	"used"	local:AM-TMP	"then"
11	"calculate plot"	rdfs:subClassOf	"plot"
11	"knowledge-based networks"	rdfs:subClassOf	"networks"
11	"calculate"	rdfs:member	"calculate plot"
11	"semantic knowledge-based networks"	rdfs:subClassOf	"networks"
11	"knowledge-based"	rdfs:member	"knowledge-based networks"
11	"semantic knowledge-based"	rdfs:member	"semantic knowledge-based networks"
11	"semantic knowledge-based"	rdfs:subClassOf	"knowledge-based"
11	"semantic"	rdfs:member	"semantic knowledge-based"
11	"semantic knowledge-based networks"	rdfs:subClassOf	"knowledge-based networks"
11	"plot semantic knowledge-based networks"	rdfs:subClassOf	"semantic knowledge-based networks"
11	"used"	vn.role:Recipient	"calculate"
11	"calculate"	vn.role:Agent	"profiles"
11	"knowledge-based networks"	rdfs:subClassOf	"networks"
11	"semantic knowledge-based networks"	rdfs:subClassOf	"networks"
11	"knowledge-based"	rdfs:member	"knowledge-based networks"
11	"semantic knowledge-based"	rdfs:member	"semantic knowledge-based networks"
11	"semantic knowledge-based"	rdfs:subClassOf	"knowledge-based"
11	"semantic"	rdfs:member	"semantic knowledge-based"
11	"semantic knowledge-based networks"	rdfs:subClassOf	"knowledge-based networks"
11	"plot semantic knowledge-based networks"	rdfs:subClassOf	"semantic knowledge-based networks"
11	"calculate"	vn.role:Predicate	"plot semantic knowledge-based networks"
12	"semantic network"	rdfs:subClassOf	"network"
12	"semantic"	rdfs:member	"semantic network"
12	"reflects"	vn.role:indirect_object	"semantic network"
12	"social"	rdfs:member	"social interactions"
12	"social interactions"	rdfs:subClassOf	"interactions"
12	"reflects"	vn.role:Cause	"expertise"
12	"capturing"	vn.role:Agent	"expertise"
12	"social"	rdfs:member	"social interactions"
12	"social interactions"	rdfs:subClassOf	"interactions"
12	"capturing"	vn.role:Theme	"social interactions"
13	"semantic"	rdfs:member	"semantic concepts"
13	"semantic concepts"	rdfs:subClassOf	"concepts"
13	"captured"	vn.role:Theme	"semantic concepts"
13	"informal content"	rdfs:subClassOf	"content"
13	"informal"	rdfs:member	"informal content"
13	"captured"	vn.role:Beneficiary	"informal content"
13	"semantic network"	rdfs:subClassOf	"network"
13	"semantic"	rdfs:member	"semantic network"
13	"captured"	local:AM-PNC	"build"
13	"semantic"	rdfs:member	"semantic concepts"
13	"semantic concepts"	rdfs:subClassOf	"concepts"
13	"build"	vn.role:Agent	"semantic concepts"
13	"semantic network"	rdfs:subClassOf	"network"
13	"semantic"	rdfs:member	"semantic network"
13	"build"	vn.role:Material	"semantic network"
15	"collected"	vn.role:Agent	"group"
15	"months period"	rdfs:subClassOf	"period"
15	"ten months period"	rdfs:subClassOf	"period"
15	"ten months"	rdfs:member	"ten months period"
15	"ten"	rdfs:member	"ten months"
15	"ten months"	rdfs:subClassOf	"months"
15	"months"	rdfs:member	"months period"
15	"collected"	local:AM-TMP	"ten months"
16	"using"	vn.role:Agent	"approach"
16	"contents from a"	local:from_a	"contents"
16	"contents from a"	local:contents_from	"a"
16	"using"	vn.role:Theme	"contents from a"
16	"research"	rdfs:member	"research group"
16	"group"	rdfs:member	"group group"
16	"research research group"	rdfs:subClassOf	"group"
16	"research research"	rdfs:subClassOf	"research"
16	"research group"	rdfs:member	"research group group"
16	"research"	rdfs:member	"research research"
16	"research research"	rdfs:member	"research research group"
16	"research research group group"	rdfs:subClassOf	"group"
16	"research research group"	rdfs:member	"research research group group"
16	"research group group"	rdfs:subClassOf	"group"
16	"internal internal"	rdfs:subClassOf	"internal"
16	"internal mailing"	rdfs:subClassOf	"mailing"
16	"internal"	rdfs:member	"internal mailing"
16	"group group"	rdfs:subClassOf	"group"
16	"research group"	rdfs:subClassOf	"group"
16	"internal internal mailing"	rdfs:subClassOf	"mailing"
16	"internal internal"	rdfs:member	"internal internal mailing"
16	"internal"	rdfs:member	"internal internal"
16	"mailing list"	rdfs:subClassOf	"list"
16	"mailing mailing list"	rdfs:subClassOf	"mailing list"
16	"internal mailing mailing list"	rdfs:subClassOf	"mailing mailing list"
16	"internal internal mailing mailing list"	rdfs:subClassOf	"internal mailing mailing list"
16	"research group group"	rdfs:subClassOf	"group group"
16	"research research group group"	rdfs:subClassOf	"research group group"
16	"internal internal mailing mailing list list"	local:_list	"internal internal mailing mailing list"
16	"internal internal mailing mailing list list"	local:internalinternalmailingmailinglist_	"list"
16	"research research group group using"	local:_using	"research research group group"
16	"research research group group using"	local:researchresearchgroupgroup_	"using"
16	"using"	vn.role:Theme	"research research group group using"
16	"exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication communication exchanges exchanges"	rdfs:member	"communication communication exchanges exchanges exchanges"
16	"informal communication communication exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication"	rdfs:member	"communication communication"
16	"informal communication"	rdfs:member	"informal communication communication"
16	"informal communication communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication communication exchanges"	rdfs:subClassOf	"exchanges"
16	"communication exchanges"	rdfs:subClassOf	"exchanges"
16	"communication"	rdfs:member	"communication exchanges"
16	"informal"	rdfs:member	"informal communication"
16	"communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"exchanges exchanges"	rdfs:member	"exchanges exchanges exchanges"
16	"exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"exchanges exchanges exchanges"	rdfs:member	"exchanges exchanges exchanges exchanges"
16	"informal communication communication exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication exchanges exchanges"	rdfs:member	"communication exchanges exchanges exchanges"
16	"informal communication communication"	rdfs:subClassOf	"communication"
16	"communication communication exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication communication exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication exchanges exchanges exchanges"	rdfs:member	"communication exchanges exchanges exchanges exchanges"
16	"informal communication communication"	rdfs:member	"informal communication communication exchanges"
16	"communication communication exchanges"	rdfs:member	"communication communication exchanges exchanges"
16	"communication communication exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"communication communication exchanges exchanges exchanges"	rdfs:member	"communication communication exchanges exchanges exchanges exchanges"
16	"informal communication communication exchanges"	rdfs:subClassOf	"exchanges"
16	"informal communication communication exchanges"	rdfs:member	"informal communication communication exchanges exchanges"
16	"informal communication communication exchanges exchanges"	rdfs:member	"informal communication communication exchanges exchanges exchanges"
16	"communication communication"	rdfs:member	"communication communication exchanges"
16	"communication exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges"
16	"informal communication"	rdfs:subClassOf	"communication"
16	"informal communication communication exchanges exchanges exchanges"	rdfs:member	"informal communication communication exchanges exchanges exchanges exchanges"
16	"exchanges"	rdfs:member	"exchanges exchanges"
16	"communication exchanges"	rdfs:member	"communication exchanges exchanges"
16	"communication communication"	rdfs:subClassOf	"communication"
16	"exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges exchanges"
16	"exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges exchanges exchanges"
16	"communication exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"exchanges exchanges exchanges exchanges"
16	"communication communication exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"communication exchanges exchanges exchanges exchanges"
16	"informal communication communication exchanges exchanges exchanges exchanges"	rdfs:subClassOf	"communication communication exchanges exchanges exchanges exchanges"
16	"informal communication communication exchanges exchanges exchanges exchanges within group"	local:within_group	"informal communication communication exchanges exchanges exchanges exchanges"
16	"informal communication communication exchanges exchanges exchanges exchanges within group"	local:informalcommunicationcommunicationexchangesexchangesexchangesexchanges_within	"group"
16	"using"	vn.role:Theme	"group"
16	"using"	vn.role:Theme	"informal communication communication exchanges exchanges exchanges exchanges within group"
16	"mailing"	vn.role:Destination	"list"
17	"validate"	vn.role:Agent	"we"
17	"validate"	vn.role:Theme	"approach"
