0	"propose"	local:AM-TMP	"article"
5	"based"	vn.role:Cause	"automatic change detection mechanism approach"
5	"virtual"	rdfs:member	"virtual versions"
5	"ontology"	rdfs:member	"ontology concepts"
5	"virtual versions"	rdfs:subClassOf	"versions"
5	"concepts"	rdfs:member	"concepts lifetime"
5	"different versions"	rdfs:subClassOf	"versions"
5	"ontology concepts"	rdfs:subClassOf	"concepts"
5	"different"	rdfs:member	"different versions"
5	"ontology concepts"	rdfs:member	"ontology concepts lifetime"
5	"ontology concepts lifetime"	rdfs:subClassOf	"lifetime"
5	"concepts lifetime"	rdfs:subClassOf	"lifetime"
5	"ontology concepts lifetime"	rdfs:subClassOf	"concepts lifetime"
5	"track of different versions"	local:of_differentversions	"track"
5	"track of different versions"	local:track_of	"different versions"
5	"different versions of ontology concepts"	local:of_ontologyconcepts	"different versions"
5	"different versions of ontology concepts"	local:differentversions_of	"ontology concepts"
5	"keeping throughout track"	local:throughout_track	"keeping"
5	"keeping throughout track"	local:keeping_throughout	"track"
5	"track of different versions"	local:of_differentversions	"track"
5	"track of different versions"	local:track_of	"different versions"
5	"different versions of ontology concepts lifetime"	local:of_ontologyconceptslifetime	"different versions"
5	"different versions of ontology concepts lifetime"	local:differentversions_of	"ontology concepts lifetime"
5	"based"	vn.role:indirect_object	"keeping throughout track"
5	"virtual"	rdfs:member	"virtual versions"
5	"virtual versions"	rdfs:subClassOf	"versions"
5	"called"	vn.role:Theme	"virtual versions"
6	"new ontology evolution approach"	rdfs:subClassOf	"approach"
6	"ontology evolution"	rdfs:subClassOf	"evolution"
6	"new ontology evolution"	rdfs:subClassOf	"evolution"
6	"new"	rdfs:member	"new ontology"
6	"ontology evolution"	rdfs:member	"ontology evolution approach"
6	"new ontology evolution"	rdfs:member	"new ontology evolution approach"
6	"ontology"	rdfs:member	"ontology evolution"
6	"new ontology"	rdfs:subClassOf	"ontology"
6	"ontology evolution approach"	rdfs:subClassOf	"approach"
6	"evolution approach"	rdfs:subClassOf	"approach"
6	"new ontology"	rdfs:member	"new ontology evolution"
6	"evolution"	rdfs:member	"evolution approach"
6	"ontology evolution approach"	rdfs:subClassOf	"evolution approach"
6	"new ontology evolution approach"	rdfs:subClassOf	"ontology evolution approach"
6	"based"	vn.role:Cause	"new ontology evolution approach"
6	"virtual"	rdfs:member	"virtual versions"
6	"ontology"	rdfs:member	"ontology concepts"
6	"virtual versions"	rdfs:subClassOf	"versions"
6	"concepts"	rdfs:member	"concepts lifetime"
6	"different versions"	rdfs:subClassOf	"versions"
6	"ontology concepts"	rdfs:subClassOf	"concepts"
6	"different"	rdfs:member	"different versions"
6	"ontology concepts"	rdfs:member	"ontology concepts lifetime"
6	"ontology concepts lifetime"	rdfs:subClassOf	"lifetime"
6	"concepts lifetime"	rdfs:subClassOf	"lifetime"
6	"ontology concepts lifetime"	rdfs:subClassOf	"concepts lifetime"
6	"track of different versions"	local:of_differentversions	"track"
6	"track of different versions"	local:track_of	"different versions"
6	"different versions of ontology concepts"	local:of_ontologyconcepts	"different versions"
6	"different versions of ontology concepts"	local:differentversions_of	"ontology concepts"
6	"keeping throughout track"	local:throughout_track	"keeping"
6	"keeping throughout track"	local:keeping_throughout	"track"
6	"track of different versions"	local:of_differentversions	"track"
6	"track of different versions"	local:track_of	"different versions"
6	"different versions of ontology concepts lifetime"	local:of_ontologyconceptslifetime	"different versions"
6	"different versions of ontology concepts lifetime"	local:differentversions_of	"ontology concepts lifetime"
6	"based"	vn.role:indirect_object	"keeping throughout track"
6	"virtual"	rdfs:member	"virtual versions"
6	"virtual versions"	rdfs:subClassOf	"versions"
6	"called"	vn.role:Theme	"virtual versions"
7	"defined"	local:AM-LOC	"changes"
7	"defined"	local:AM-MOD	"can"
7	"virtual"	rdfs:member	"virtual versions"
7	"virtual versions"	rdfs:subClassOf	"versions"
7	"terms of virtual versions"	local:of_virtualversions	"terms"
7	"terms of virtual versions"	local:terms_of	"virtual versions"
7	"defined"	vn.role:Predicate	"terms of virtual versions"
