8	"corresponding"	rdfs:member	"corresponding semantic"
8	"web service"	rdfs:member	"web service matchmaker"
8	"web"	rdfs:member	"web service"
8	"matchmaker semantic constraints"	rdfs:subClassOf	"semantic constraints"
8	"service matchmaker semantic constraints"	rdfs:subClassOf	"matchmaker semantic constraints"
8	"web service matchmaker semantic constraints"	rdfs:subClassOf	"service matchmaker semantic constraints"
8	"semantic web service matchmaker semantic constraints"	rdfs:subClassOf	"web service matchmaker semantic constraints"
8	"corresponding semantic web service matchmaker semantic constraints"	rdfs:subClassOf	"semantic web service matchmaker semantic constraints"
8	"matching of corresponding semantic web service matchmaker semantic constraints"	local:of_correspondingsemanticwebservicematchmakersemanticconstraints	"matching"
8	"matching of corresponding semantic web service matchmaker semantic constraints"	local:matching_of	"corresponding semantic web service matchmaker semantic constraints"
8	"matching of corresponding semantic web service matchmaker semantic constraints with help"	local:with_help	"matching of corresponding semantic web service matchmaker semantic constraints"
8	"matching of corresponding semantic web service matchmaker semantic constraints with help"	local:matchingofcorrespondingsemanticwebservicematchmakersemanticconstraints_with	"help"
8	"help of constraint graph"	local:of_constraintgraph	"help"
8	"help of constraint graph"	local:help_of	"constraint graph"
8	"performs"	vn.role:Theme	"matching of corresponding semantic web service matchmaker semantic constraints with help"
9	"experiment results"	rdfs:subClassOf	"results"
9	"experiment"	rdfs:member	"experiment results"
9	"encouraging"	vn.role:Agent	"experiment results"
9	"semantic web services"	rdfs:subClassOf	"services"
9	"retrieval test"	rdfs:subClassOf	"test"
9	"test collection"	rdfs:subClassOf	"collection"
9	"test"	rdfs:member	"test collection"
9	"semantic constraint"	rdfs:subClassOf	"constraint"
9	"owls-tc"	rdfs:member	"owls-tc v2"
9	"web services"	rdfs:subClassOf	"services"
9	"retrieval"	rdfs:member	"retrieval test"
9	"semantic web"	rdfs:subClassOf	"web"
9	"semantic web"	rdfs:member	"semantic web services"
9	"retrieval test collection"	rdfs:subClassOf	"collection"
9	"semantic"	rdfs:member	"semantic web"
9	"owls-tc v2"	rdfs:subClassOf	"v2"
9	"retrieval test"	rdfs:member	"retrieval test collection"
9	"semantic"	rdfs:member	"semantic constraint"
9	"web"	rdfs:member	"web services"
9	"collection owls-tc v2"	rdfs:subClassOf	"owls-tc v2"
9	"test collection owls-tc v2"	rdfs:subClassOf	"collection owls-tc v2"
9	"retrieval test collection owls-tc v2"	rdfs:subClassOf	"test collection owls-tc v2"
9	"service retrieval test collection owls-tc v2"	rdfs:subClassOf	"retrieval test collection owls-tc v2"
9	"semantic web services"	rdfs:subClassOf	"web services"
9	"discover on service retrieval test collection owls-tc v2"	local:on_serviceretrievaltestcollectionowls-tcv2	"discover"
9	"discover on service retrieval test collection owls-tc v2"	local:discover_on	"service retrieval test collection owls-tc v2"
9	"encouraging"	local:AM-TMP	"applying"
9	"experiment results"	rdfs:subClassOf	"results"
9	"experiment"	rdfs:member	"experiment results"
9	"applying"	vn.role:Agent	"experiment results"
9	"semantic"	rdfs:member	"semantic constraint"
9	"semantic constraint"	rdfs:subClassOf	"constraint"
9	"applying"	vn.role:Theme	"semantic constraint"
9	"semantic web services"	rdfs:subClassOf	"services"
9	"retrieval test"	rdfs:subClassOf	"test"
9	"test collection"	rdfs:subClassOf	"collection"
9	"discover semantic"	rdfs:member	"discover semantic web"
9	"discover semantic web"	rdfs:member	"discover semantic web services"
9	"test"	rdfs:member	"test collection"
9	"owls-tc"	rdfs:member	"owls-tc v2"
9	"discover semantic web"	rdfs:subClassOf	"web"
9	"web services"	rdfs:subClassOf	"services"
9	"discover"	rdfs:member	"discover semantic"
9	"discover semantic web services"	rdfs:subClassOf	"services"
9	"discover semantic"	rdfs:subClassOf	"semantic"
9	"semantic web"	rdfs:subClassOf	"web"
9	"semantic web"	rdfs:member	"semantic web services"
9	"retrieval"	rdfs:member	"retrieval test"
9	"retrieval test collection"	rdfs:subClassOf	"collection"
9	"semantic"	rdfs:member	"semantic web"
9	"owls-tc v2"	rdfs:subClassOf	"v2"
9	"retrieval test"	rdfs:member	"retrieval test collection"
9	"web"	rdfs:member	"web services"
9	"collection owls-tc v2"	rdfs:subClassOf	"owls-tc v2"
9	"test collection owls-tc v2"	rdfs:subClassOf	"collection owls-tc v2"
9	"retrieval test collection owls-tc v2"	rdfs:subClassOf	"test collection owls-tc v2"
9	"service retrieval test collection owls-tc v2"	rdfs:subClassOf	"retrieval test collection owls-tc v2"
9	"semantic web services"	rdfs:subClassOf	"web services"
9	"discover on service retrieval test collection owls-tc v2"	local:on_serviceretrievaltestcollectionowls-tcv2	"discover"
9	"discover on service retrieval test collection owls-tc v2"	local:discover_on	"service retrieval test collection owls-tc v2"
