14	"use"	vn.role:Theme	"sub-event clustering visualizations"
14	"qualitative potential"	rdfs:subClassOf	"potential"
14	"qualitative"	rdfs:member	"qualitative potential"
14	"qualitative potential of augseer"	local:of_augseer	"qualitative potential"
14	"qualitative potential of augseer"	local:qualitativepotential_of	"augseer"
14	"use"	vn.role:Recipient	"illustrate"
14	"illustrate"	vn.role:Agent	"we"
14	"sub-event clustering"	rdfs:member	"sub-event clustering visualizations"
14	"clustering"	rdfs:member	"clustering visualizations"
14	"sub-event"	rdfs:member	"sub-event clustering"
14	"clustering visualizations"	rdfs:subClassOf	"visualizations"
14	"sub-event clustering"	rdfs:subClassOf	"clustering"
14	"sub-event clustering visualizations"	rdfs:subClassOf	"visualizations"
14	"sub-event clustering visualizations"	rdfs:subClassOf	"clustering visualizations"
14	"illustrate"	vn.role:Agent	"sub-event clustering visualizations"
14	"qualitative potential"	rdfs:subClassOf	"potential"
14	"qualitative"	rdfs:member	"qualitative potential"
14	"qualitative potential of augseer"	local:of_augseer	"qualitative potential"
14	"qualitative potential of augseer"	local:qualitativepotential_of	"augseer"
14	"illustrate"	vn.role:Theme	"qualitative potential of augseer"
