8	"knowledge-base-agnostic"	rdfs:member	"knowledge-base-agnostic approach"
8	"novel knowledge-base-agnostic approach"	rdfs:subClassOf	"approach"
8	"novel knowledge-base-agnostic"	rdfs:subClassOf	"knowledge-base-agnostic"
8	"novel"	rdfs:member	"novel knowledge-base-agnostic"
8	"named entity disambiguation"	rdfs:subClassOf	"entity disambiguation"
8	"novel knowledge-base-agnostic approach"	rdfs:subClassOf	"knowledge-base-agnostic approach"
8	"novel knowledge-base-agnostic approach for named entity disambiguation"	local:for_namedentitydisambiguation	"novel knowledge-base-agnostic approach"
8	"novel knowledge-base-agnostic approach for named entity disambiguation"	local:novelknowledge-base-agnosticapproach_for	"named entity disambiguation"
8	"presenting"	vn.role:Theme	"novel knowledge-base-agnostic approach for named entity disambiguation"
8	"named"	vn.role:Theme	"entity"
8	"named"	vn.role:Predicate	"disambiguation"
9	"approach"	vn.role:object	"we"
9	"combines"	vn.role:Agent	"we"
9	"hypertext-induced topic search"	rdfs:subClassOf	"search"
9	"hypertext-induced"	rdfs:member	"hypertext-induced topic"
9	"topic"	rdfs:member	"topic search"
9	"topic search"	rdfs:subClassOf	"search"
9	"hypertext-induced topic"	rdfs:subClassOf	"topic"
9	"string similarity measures"	rdfs:subClassOf	"measures"
9	"string"	rdfs:member	"string similarity"
9	"similarity"	rdfs:member	"similarity measures"
9	"hypertext-induced topic"	rdfs:member	"hypertext-induced topic search"
9	"similarity measures"	rdfs:subClassOf	"measures"
9	"string similarity"	rdfs:member	"string similarity measures"
9	"string similarity"	rdfs:subClassOf	"similarity"
9	"string similarity measures"	rdfs:subClassOf	"similarity measures"
9	"search algorithm"	rdfs:subClassOf	"algorithm"
9	"hypertext-induced topic search"	rdfs:subClassOf	"topic search"
9	"hypertext-induced topic search hits"	local:_hits	"hypertext-induced topic search"
9	"hypertext-induced topic search hits"	local:hypertext-inducedtopicsearch_	"hits"
9	"search algorithm with string similarity measures"	local:with_stringsimilaritymeasures	"search algorithm"
9	"search algorithm with string similarity measures"	local:searchalgorithm_with	"string similarity measures"
9	"combines"	vn.role:Patient	"search algorithm with string similarity measures"
