s7.2	"proposed"
s5	"firstorder predicate logic provers"	rdfs:member	"firstorder predicate logic"
s5	"generalpurpose classical firstorder predicate logic"	rdfs:member	"generalpurpose classical firstorder predicate"
s5	"firstorder predicate"	rdfs:subClassOf	"predicate"
s5	"generalpurpose classical firstorder"	rdfs:member	"generalpurpose classical"
s5	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s5	"predicate logic"	rdfs:subClassOf	"logic"
s5	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s5	"predicate logic"	rdfs:member	"predicate"
s5	"logic provers"	rdfs:member	"logic"
s5	"firstorder predicate"	rdfs:member	"firstorder"
s5	"generalpurpose classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s5	"generalpurpose classical firstorder predicate logic provers"	rdfs:member	"generalpurpose classical firstorder predicate logic"
s5	"predicate logic provers"	rdfs:subClassOf	"logic provers"
s5	"firstorder predicate logic provers"	rdfs:subClassOf	"predicate logic provers"
s5	"classical firstorder predicate logic provers"	rdfs:subClassOf	"firstorder predicate logic provers"
s5	"generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"classical firstorder predicate logic provers"
s5	"existing generalpurpose classical firstorder predicate logic provers"	rdfs:subClassOf	"generalpurpose classical firstorder predicate logic provers"
s5	"some experiments designed to explore the feasibility of using existing generalpurpose classical firstorder predicate logic provers to reason with owl a description logic"	local:AM-PNC	"reason with OWL a Description Logic"
s5	"reason with owl a description logic"	rdfs:member	"description logic"
s5	"reason with owl a description logic"	rdfs:member	"reason"
s5	"reason with owl a description logic"	rdfs:member	"owl"
s5	"description logic"	rdfs:subClassOf	"logic"
s5	"description logic"	rdfs:member	"description"
s5	"reason with owl"	rdfs:member	"reason"
s5	"reason with owl"	rdfs:member	"owl"
s4	"in this paper we report on some experiments"
s4	"in this paper we report on some experiments"	rdf:subject	"we"
s4	"in this paper we report on some experiments"	rdf:predicate	"report"
s4	"in this paper we report on some experiments"	local:AM-LOC	"paper"
s4	"in this paper we report on some experiments"	local:AM-LOC	"experiments"
s3.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"
s3.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"	rdf:subject	"standard methods of automated reasoning for full classical firstorder predicate logic"
s3.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s3.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods"
s3.2	"classical firstorder"	rdfs:member	"classical"
s3.2	"full classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s3.2	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s3.2	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s3.2	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s3.2	"full classical firstorder predicate"	rdfs:subClassOf	"predicate"
s3.2	"full classical firstorder"	rdfs:member	"full classical"
s3.2	"full classical"	rdfs:subClassOf	"classical"
s3.2	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s3.2	"full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate"
s3.2	"classical firstorder"	rdfs:subClassOf	"firstorder"
s3.2	"full classical firstorder predicate"	rdfs:member	"full classical firstorder"
s3.2	"firstorder predicate"	rdfs:subClassOf	"predicate"
s3.2	"standard methods"	rdfs:subClassOf	"methods"
s3.2	"full classical"	rdfs:member	"full"
s3.2	"standard methods"	rdfs:member	"standard"
s3.2	"full classical firstorder"	rdfs:subClassOf	"firstorder"
s3.2	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s3.2	"predicate logic"	rdfs:subClassOf	"logic"
s3.2	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s3.2	"predicate logic"	rdfs:member	"predicate"
s3.2	"firstorder predicate"	rdfs:member	"firstorder"
s3.2	"firstorder predicate logic"	rdfs:subClassOf	"predicate logic"
s3.2	"classical firstorder predicate logic"	rdfs:subClassOf	"firstorder predicate logic"
s3.2	"full classical firstorder predicate logic"	rdfs:subClassOf	"classical firstorder predicate logic"
s3.2	"automated reasoning"	rdfs:subClassOf	"reasoning"
s3.2	"standard methods of automated reasoning"	rdfs:member	"standard methods"
s3.2	"standard methods of automated reasoning"	rdfs:member	"automated reasoning"
s3.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods of automated reasoning"
s3.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s3.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"	rdf:predicate	"solve"
s3.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"	rdf:object	"OWL a Description Logic reasoning tasks"
s3.2	"owl a description logic reasoning tasks"	rdfs:member	"description logic"
s3.2	"owl a description logic reasoning tasks"	rdfs:member	"tasks"
s3.2	"description logic"	rdfs:subClassOf	"logic"
s3.2	"description logic"	rdfs:member	"description"
s3.2	"reasoning tasks"	rdfs:subClassOf	"tasks"
s3.2	"logic reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
s3.2	"description logic reasoning tasks"	rdfs:subClassOf	"logic reasoning tasks"
s3.1	"the standard methods of automated reasoning for full classical firstorder predicate logic a description logic reasoners to solve owl a description logic reasoning tasks"
s3.1	"the standard methods of automated reasoning for full classical firstorder predicate logic a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:subject	"Description Logic"
s3.1	"description logic"	rdfs:subClassOf	"logic"
s3.1	"description logic"	rdfs:member	"description"
s3.1	"the standard methods of automated reasoning for full classical firstorder predicate logic a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:predicate	"reasoners"
s3.1	"the standard methods of automated reasoning for full classical firstorder predicate logic a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-PNC	"solve OWL a Description Logic reasoning tasks"
s3.1	"solve owl a description logic reasoning tasks"	rdfs:member	"description logic"
s3.1	"solve owl a description logic reasoning tasks"	rdfs:member	"owl"
s3.1	"solve owl a description logic reasoning tasks"	rdfs:member	"tasks"
s3.1	"description logic"	rdfs:subClassOf	"logic"
s3.1	"description logic"	rdfs:member	"description"
s3.1	"reasoning tasks"	rdfs:subClassOf	"tasks"
s3.1	"logic reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
s3.1	"description logic reasoning tasks"	rdfs:subClassOf	"logic reasoning tasks"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:subject	"standard methods of automated reasoning for full classical firstorder predicate logic"
s3	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s3	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods"
s3	"classical firstorder"	rdfs:member	"classical"
s3	"full classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s3	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s3	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s3	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s3	"full classical firstorder predicate"	rdfs:subClassOf	"predicate"
s3	"full classical firstorder"	rdfs:member	"full classical"
s3	"full classical"	rdfs:subClassOf	"classical"
s3	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s3	"full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate"
s3	"classical firstorder"	rdfs:subClassOf	"firstorder"
s3	"full classical firstorder predicate"	rdfs:member	"full classical firstorder"
s3	"firstorder predicate"	rdfs:subClassOf	"predicate"
s3	"standard methods"	rdfs:subClassOf	"methods"
s3	"full classical"	rdfs:member	"full"
s3	"standard methods"	rdfs:member	"standard"
s3	"full classical firstorder"	rdfs:subClassOf	"firstorder"
s3	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s3	"predicate logic"	rdfs:subClassOf	"logic"
s3	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s3	"predicate logic"	rdfs:member	"predicate"
s3	"firstorder predicate"	rdfs:member	"firstorder"
s3	"firstorder predicate logic"	rdfs:subClassOf	"predicate logic"
s3	"classical firstorder predicate logic"	rdfs:subClassOf	"firstorder predicate logic"
s3	"full classical firstorder predicate logic"	rdfs:subClassOf	"classical firstorder predicate logic"
s3	"automated reasoning"	rdfs:subClassOf	"reasoning"
s3	"standard methods of automated reasoning"	rdfs:member	"standard methods"
s3	"standard methods of automated reasoning"	rdfs:member	"automated reasoning"
s3	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods of automated reasoning"
s3	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:predicate	"dedicate"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"	rdf:object	"Description Logic reasoners to solve OWL a Description Logic reasoning tasks"
s3	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"description logic"
s3	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"tasks"
s3	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"owl"
s3	"description logic reasoners to solve owl a description logic reasoning tasks"	rdfs:member	"description logic reasoners"
s3	"description logic reasoners"	rdfs:member	"description logic"
s3	"description logic"	rdfs:member	"description"
s3	"description logic"	rdfs:subClassOf	"logic"
s3	"logic reasoners"	rdfs:subClassOf	"reasoners"
s3	"description logic reasoners"	rdfs:subClassOf	"reasoners"
s3	"logic reasoners"	rdfs:member	"logic"
s3	"reasoning tasks"	rdfs:subClassOf	"tasks"
s3	"logic reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
s3	"description logic reasoning tasks"	rdfs:subClassOf	"logic reasoning tasks"
s3	"description logic reasoners"	rdfs:subClassOf	"logic reasoners"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-ADV	"potentially"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-DIS	"Therefore"
s3	"therefore the standard methods of automated reasoning for full classical firstorder predicate logic can potentially dedicated a description logic reasoners to solve owl a description logic reasoning tasks"	local:AM-MOD	"can"
s2.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"
s2.2	"the standard methods of automated reasoning for full classical firstorder predicate logic solve owl a description logic reasoning tasks"	rdf:subject	"standard methods of automated reasoning for full classical firstorder predicate logic"
s2.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate logic"
s2.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods"
s2.2	"classical firstorder"	rdfs:member	"classical"
s2.2	"full classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s2.2	"firstorder predicate logic"	rdfs:member	"firstorder predicate"
s2.2	"classical firstorder predicate logic"	rdfs:subClassOf	"logic"
s2.2	"classical firstorder predicate"	rdfs:member	"classical firstorder"
s2.2	"full classical firstorder predicate"	rdfs:subClassOf	"predicate"
s2.2	"full classical firstorder"	rdfs:member	"full classical"
s2.2	"full classical"	rdfs:subClassOf	"classical"
s2.2	"classical firstorder predicate"	rdfs:subClassOf	"predicate"
s2.2	"full classical firstorder predicate logic"	rdfs:member	"full classical firstorder predicate"
s2.2	"classical firstorder"	rdfs:subClassOf	"firstorder"
s2.2	"full classical firstorder predicate"	rdfs:member	"full classical firstorder"
s2.2	"firstorder predicate"	rdfs:subClassOf	"predicate"
s2.2	"standard methods"	rdfs:subClassOf	"methods"
s2.2	"full classical"	rdfs:member	"full"
s2.2	"standard methods"	rdfs:member	"standard"
s2.2	"full classical firstorder"	rdfs:subClassOf	"firstorder"
s2.2	"firstorder predicate logic"	rdfs:subClassOf	"logic"
s2.2	"predicate logic"	rdfs:subClassOf	"logic"
s2.2	"classical firstorder predicate logic"	rdfs:member	"classical firstorder predicate"
s2.2	"predicate logic"	rdfs:member	"predicate"
s2.2	"firstorder predicate"	rdfs:member	"firstorder"
s2.2	"firstorder predicate logic"	rdfs:subClassOf	"predicate logic"
s2.2	"classical firstorder predicate logic"	rdfs:subClassOf	"firstorder predicate logic"
s2.2	"full classical firstorder predicate logic"	rdfs:subClassOf	"classical firstorder predicate logic"
s2.2	"automated reasoning"	rdfs:subClassOf	"reasoning"
s2.2	"standard methods of automated reasoning"	rdfs:member	"standard methods"
s2.2	"standard methods of automated reasoning"	rdfs:member	"automated reasoning"
s2.2	"standard methods of automated reasoning for full classical firstorder predicate logic"	rdfs:member	"standard methods of automated reasoning"
