10	"large executable"	rdfs:subClassOf	"executable"
10	"large executable workflows"	rdfs:subClassOf	"workflows"
10	"science application"	rdfs:subClassOf	"application"
10	"large executable"	rdfs:member	"large executable workflows"
10	"earthquake science"	rdfs:member	"earthquake science application"
10	"earthquake"	rdfs:member	"earthquake science"
10	"earthquake science application"	rdfs:subClassOf	"application"
10	"executable workflows"	rdfs:subClassOf	"workflows"
10	"earthquake science"	rdfs:subClassOf	"science"
10	"large"	rdfs:member	"large executable"
10	"new files"	rdfs:subClassOf	"files"
10	"executable"	rdfs:member	"executable workflows"
10	"100,000 new files"	rdfs:subClassOf	"new files"
10	"more 100,000"	rdfs:subClassOf	"100,000"
10	"7,000 jobs"	rdfs:subClassOf	"jobs"
10	"more 7,000"	rdfs:subClassOf	"7,000"
10	"earthquake science application"	rdfs:subClassOf	"science application"
10	"large executable workflows"	rdfs:subClassOf	"executable workflows"
10	"creation of large executable workflows"	local:of_largeexecutableworkflows	"creation"
10	"creation of large executable workflows"	local:creation_of	"large executable workflows"
10	"support in earthquake science application"	local:in_earthquakescienceapplication	"support"
10	"support in earthquake science application"	local:support_in	"earthquake science application"
10	"earthquake science application with 7,000 jobs"	local:with_7,000jobs	"earthquake science application"
10	"earthquake science application with 7,000 jobs"	local:earthquakescienceapplication_with	"7,000 jobs"
10	"generating for 100,000 new files"	local:for_100,000newfiles	"generating"
10	"generating for 100,000 new files"	local:generating_for	"100,000 new files"
10	"show"	vn.role:Theme	"used"
10	"used"	vn.role:Agent	"we"
10	"used"	vn.role:Theme	"capabilities"
10	"science"	rdfs:member	"science application"
10	"new"	rdfs:member	"new files"
10	"executable"	rdfs:member	"executable workflows"
10	"large executable"	rdfs:subClassOf	"executable"
10	"large executable workflows"	rdfs:subClassOf	"workflows"
10	"science application"	rdfs:subClassOf	"application"
10	"large executable"	rdfs:member	"large executable workflows"
10	"earthquake science"	rdfs:member	"earthquake science application"
10	"earthquake"	rdfs:member	"earthquake science"
10	"executable workflows"	rdfs:subClassOf	"workflows"
10	"earthquake science"	rdfs:subClassOf	"science"
10	"large"	rdfs:member	"large executable"
10	"new files"	rdfs:subClassOf	"files"
10	"earthquake science application"	rdfs:subClassOf	"application"
10	"100,000 new files"	rdfs:subClassOf	"new files"
10	"more 100,000"	rdfs:subClassOf	"100,000"
10	"7,000 jobs"	rdfs:subClassOf	"jobs"
10	"more 7,000"	rdfs:subClassOf	"7,000"
10	"earthquake science application"	rdfs:subClassOf	"science application"
10	"large executable workflows"	rdfs:subClassOf	"executable workflows"
10	"creation of large executable workflows"	local:of_largeexecutableworkflows	"creation"
10	"creation of large executable workflows"	local:creation_of	"large executable workflows"
10	"support in earthquake science application"	local:in_earthquakescienceapplication	"support"
10	"support in earthquake science application"	local:support_in	"earthquake science application"
10	"earthquake science application with 7,000 jobs"	local:with_7,000jobs	"earthquake science application"
10	"earthquake science application with 7,000 jobs"	local:earthquakescienceapplication_with	"7,000 jobs"
10	"generating for 100,000 new files"	local:for_100,000newfiles	"generating"
10	"generating for 100,000 new files"	local:generating_for	"100,000 new files"
10	"used"	vn.role:Recipient	"support in earthquake science application"
10	"support"	vn.role:Theme	"we"
10	"science"	rdfs:member	"science application"
10	"new"	rdfs:member	"new files"
10	"executable"	rdfs:member	"executable workflows"
10	"large executable"	rdfs:subClassOf	"executable"
10	"large executable workflows"	rdfs:subClassOf	"workflows"
10	"science application"	rdfs:subClassOf	"application"
10	"large executable"	rdfs:member	"large executable workflows"
10	"earthquake science"	rdfs:member	"earthquake science application"
10	"earthquake"	rdfs:member	"earthquake science"
10	"executable workflows"	rdfs:subClassOf	"workflows"
10	"earthquake science"	rdfs:subClassOf	"science"
10	"large"	rdfs:member	"large executable"
10	"new files"	rdfs:subClassOf	"files"
10	"earthquake science application"	rdfs:subClassOf	"application"
10	"100,000 new files"	rdfs:subClassOf	"new files"
10	"more 100,000"	rdfs:subClassOf	"100,000"
10	"7,000 jobs"	rdfs:subClassOf	"jobs"
10	"more 7,000"	rdfs:subClassOf	"7,000"
10	"earthquake science application"	rdfs:subClassOf	"science application"
10	"large executable workflows"	rdfs:subClassOf	"executable workflows"
10	"creation of large executable workflows"	local:of_largeexecutableworkflows	"creation"
10	"creation of large executable workflows"	local:creation_of	"large executable workflows"
10	"creation of large executable workflows in earthquake science application"	local:in_earthquakescienceapplication	"creation of large executable workflows"
10	"creation of large executable workflows in earthquake science application"	local:creationoflargeexecutableworkflows_in	"earthquake science application"
10	"earthquake science application with 7,000 jobs"	local:with_7,000jobs	"earthquake science application"
10	"earthquake science application with 7,000 jobs"	local:earthquakescienceapplication_with	"7,000 jobs"
10	"creation of large executable workflows in earthquake science application generating"	local:_generating	"creation of large executable workflows in earthquake science application"
10	"creation of large executable workflows in earthquake science application generating"	local:creationoflargeexecutableworkflowsinearthquakescienceapplication_	"generating"
10	"generating for 100,000 new files"	local:for_100,000newfiles	"generating"
10	"generating for 100,000 new files"	local:generating_for	"100,000 new files"
10	"support"	vn.role:Experiencer	"creation of large executable workflows in earthquake science application generating"
10	"generating"	vn.role:Theme2	"metadata"
