13	"e over rdf graph g"	local:over_rdfgraphg	"e"
13	"e over rdf graph g"	local:e_over	"rdf graph g"
13	"computed"	vn.role:Product	"evaluation of nested regular expression"
13	"computed"	local:AM-MOD	"can"
13	"time"	rdfs:member	"time o"
13	"time o"	rdfs:subClassOf	"o"
13	"computed"	local:AM-TMP	"time o"
14	"complexity of evaluation"	local:of_evaluation	"complexity"
14	"complexity of evaluation"	local:complexity_of	"evaluation"
14	"prove"	local:AM-ADV	"complexity of evaluation"
14	"prove"	vn.role:Agent	"we"
14	"regular expression e"	rdfs:subClassOf	"e"
14	"g · e"	rdfs:subClassOf	"e"
14	"nested regular"	rdfs:subClassOf	"regular"
14	"expression"	rdfs:member	"expression e"
14	"rdf graph"	rdfs:subClassOf	"graph"
14	"nested"	rdfs:member	"nested regular"
14	"g ·"	rdfs:member	"g · e"
14	"regular expression"	rdfs:subClassOf	"expression"
14	"graph g"	rdfs:subClassOf	"g"
14	"regular"	rdfs:member	"regular expression"
14	"regular expression"	rdfs:member	"regular expression e"
14	"rdf"	rdfs:member	"rdf graph"
14	"·"	rdfs:member	"· e"
14	"nested regular expression"	rdfs:member	"nested regular expression e"
14	"g ·"	rdfs:subClassOf	"·"
14	"rdf graph"	rdfs:member	"rdf graph g"
14	"rdf graph g"	rdfs:subClassOf	"g"
14	"nested regular"	rdfs:member	"nested regular expression"
14	"g"	rdfs:member	"g ·"
14	"nested regular expression"	rdfs:subClassOf	"expression"
14	"graph"	rdfs:member	"graph g"
14	"· e"	rdfs:subClassOf	"e"
14	"nested regular expression e"	rdfs:subClassOf	"e"
14	"expression e"	rdfs:subClassOf	"e"
14	"can computed"	rdfs:subClassOf	"computed"
14	"rdf graph g"	rdfs:subClassOf	"graph g"
14	"nested regular expression"	rdfs:subClassOf	"regular expression"
14	"evaluation of nested regular expression"	local:of_nestedregularexpression	"evaluation"
14	"evaluation of nested regular expression"	local:evaluation_of	"nested regular expression"
14	"e over rdf graph g"	local:over_rdfgraphg	"e"
14	"e over rdf graph g"	local:e_over	"rdf graph g"
14	"can computed in g ·"	local:in_g·	"can computed"
14	"can computed in g ·"	local:cancomputed_in	"g ·"
14	"prove"	vn.role:Theme	"evaluation of nested regular expression"
14	"regular expression e"	rdfs:subClassOf	"e"
14	"rdf graph"	rdfs:member	"rdf graph g"
14	"regular expression"	rdfs:subClassOf	"expression"
14	"rdf graph g"	rdfs:subClassOf	"g"
14	"graph g"	rdfs:subClassOf	"g"
14	"regular"	rdfs:member	"regular expression"
14	"nested regular expression"	rdfs:subClassOf	"expression"
14	"regular expression"	rdfs:member	"regular expression e"
14	"rdf"	rdfs:member	"rdf graph"
14	"nested regular"	rdfs:subClassOf	"regular"
14	"expression"	rdfs:member	"expression e"
14	"rdf graph"	rdfs:subClassOf	"graph"
14	"graph"	rdfs:member	"graph g"
14	"nested regular expression"	rdfs:member	"nested regular expression e"
14	"nested regular expression e"	rdfs:subClassOf	"e"
14	"nested"	rdfs:member	"nested regular"
14	"nested regular"	rdfs:member	"nested regular expression"
14	"expression e"	rdfs:subClassOf	"e"
14	"rdf graph g"	rdfs:subClassOf	"graph g"
14	"nested regular expression"	rdfs:subClassOf	"regular expression"
14	"evaluation of nested regular expression"	local:of_nestedregularexpression	"evaluation"
14	"evaluation of nested regular expression"	local:evaluation_of	"nested regular expression"
14	"e over rdf graph g"	local:over_rdfgraphg	"e"
14	"e over rdf graph g"	local:e_over	"rdf graph g"
14	"computed"	vn.role:Product	"evaluation of nested regular expression"
14	"computed"	local:AM-MOD	"can"
14	"g · e"	rdfs:subClassOf	"e"
14	"g"	rdfs:member	"g ·"
14	"·"	rdfs:member	"· e"
14	"· e"	rdfs:subClassOf	"e"
14	"g ·"	rdfs:member	"g · e"
14	"g ·"	rdfs:subClassOf	"·"
14	"g e"	local:_e	"g"
14	"g e"	local:g_	"e"
14	"computed"	local:AM-LOC	"g e"
