s0.1	"semantic web"	rdfs:subClassOf	"web"
s0.1	"semantic web"	rdfs:member	"semantic"
s0.1	"agent cooperation"	rdfs:member	"agent"
s0.1	"distributed agent cooperation"	rdfs:subClassOf	"agent cooperation"
s0.1	"distributed agent cooperation in semantic web"	rdfs:member	"distributed agent cooperation"
s0.1	"distributed agent cooperation in semantic web"	rdfs:member	"semantic web"
s0.1	"several proposals support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	local:AM-MNR	"allowing roles in one ontology be reused in another ontology"
s0	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"
s0	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:subject	"Several proposals"
s0	"several proposals"	rdfs:subClassOf	"proposals"
s0	"several proposals"	rdfs:member	"several"
s0	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdf:predicate	"put"
s0	"several proposals put forward to support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	local:AM-PNC	"support distributed agent cooperation in the Semantic Web by allowing roles in one ontology be reused in another ontology"
s0	"support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdfs:member	"semantic web"
s0	"support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdfs:member	"agent cooperation"
s0	"support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdfs:member	"ontology"
s0	"support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdfs:member	"roles"
s0	"support distributed agent cooperation in the semantic web by allowing roles in one ontology be reused in another ontology"	rdfs:member	"support"
s0	"agent cooperation"	rdfs:subClassOf	"cooperation"
s0	"semantic web"	rdfs:subClassOf	"web"
s0	"semantic web"	rdfs:member	"semantic"
s0	"agent cooperation"	rdfs:member	"agent"
s0	"one ontology"	rdfs:subClassOf	"ontology"
s0	"agent cooperation in semantic web"	rdfs:member	"agent cooperation"
s0	"agent cooperation in semantic web"	rdfs:member	"semantic web"
s0	"roles in one ontology"	rdfs:member	"roles"
s0	"roles in one ontology"	rdfs:member	"one ontology"
s0	"reused in ontology"	rdfs:member	"reused"
s0	"reused in ontology"	rdfs:member	"ontology"
