11	"find"	vn.role:Theme	"resulting"
11	"facilitates"	local:AM-TMP	"then"
11	"user"	rdfs:member	"user interface"
11	"user interface"	rdfs:subClassOf	"interface"
11	"resulting user"	rdfs:subClassOf	"user"
11	"resulting user interface"	rdfs:subClassOf	"user interface"
11	"facilitates"	vn.role:Agent	"examine"
11	"ontology navigation"	rdfs:subClassOf	"navigation"
11	"ontology"	rdfs:member	"ontology navigation"
11	"tasks like ontology navigation"	local:like_ontologynavigation	"tasks"
11	"tasks like ontology navigation"	local:tasks_like	"ontology navigation"
11	"facilitates"	vn.role:Beneficiary	"tasks like ontology navigation"
12	"examine"	local:AM-TMP	"then"
12	"examine"	vn.role:Agent	"we"
12	"user"	rdfs:member	"user interface"
12	"user interface"	rdfs:subClassOf	"interface"
12	"examine"	vn.role:Location	"resulting"
12	"user"	rdfs:member	"user interface"
12	"user interface"	rdfs:subClassOf	"interface"
12	"resulting"	vn.role:Location	"user interface"
12	"user"	rdfs:member	"user interface"
12	"user interface"	rdfs:subClassOf	"interface"
12	"resulting"	vn.role:Location	"user interface"
12	"find"	local:AM-TMP	"then"
12	"find"	vn.role:Agent	"we"
12	"user"	rdfs:member	"user interface"
12	"user interface"	rdfs:subClassOf	"interface"
12	"find"	vn.role:Theme	"resulting"
12	"facilitates"	local:AM-TMP	"then"
12	"user"	rdfs:member	"user interface"
12	"user interface"	rdfs:subClassOf	"interface"
12	"resulting user"	rdfs:subClassOf	"user"
12	"resulting user interface"	rdfs:subClassOf	"user interface"
12	"facilitates"	vn.role:Agent	"examine"
12	"ontology instance analysis"	rdfs:subClassOf	"analysis"
12	"instance"	rdfs:member	"instance analysis"
12	"ontology instance"	rdfs:subClassOf	"instance"
12	"instance analysis"	rdfs:subClassOf	"analysis"
12	"ontology"	rdfs:member	"ontology instance"
12	"ontology instance"	rdfs:member	"ontology instance analysis"
12	"ontology instance analysis"	rdfs:subClassOf	"instance analysis"
12	"tasks like ontology instance analysis"	local:like_ontologyinstanceanalysis	"tasks"
12	"tasks like ontology instance analysis"	local:tasks_like	"ontology instance analysis"
12	"facilitates"	vn.role:Beneficiary	"tasks like ontology instance analysis"
