14	"taking"	vn.role:Source	"variety of knowledge available sources"
15	"present"	local:AM-LOC	"paper"
15	"present"	vn.role:Agent	"we"
15	"novel approach"	rdfs:subClassOf	"approach"
15	"novel"	rdfs:member	"novel approach"
15	"present"	vn.role:Theme	"novel approach"
15	"knowledge sources"	rdfs:subClassOf	"sources"
15	"knowledge"	rdfs:member	"knowledge sources"
15	"available sources"	rdfs:subClassOf	"sources"
15	"available sources taking"	rdfs:subClassOf	"taking"
15	"knowledge available sources"	rdfs:subClassOf	"available sources"
15	"a knowledge available sources"	rdfs:subClassOf	"knowledge available sources"
15	"available on web"	local:on_web	"available"
15	"available on web"	local:available_on	"web"
15	"present"	local:AM-PNC	"available sources taking"
15	"taking"	local:AM-LOC	"paper"
15	"taking"	vn.role:Agent	"we"
15	"taking"	vn.role:Theme	"advantage"
15	"knowledge sources"	rdfs:subClassOf	"sources"
15	"knowledge"	rdfs:member	"knowledge sources"
15	"available sources"	rdfs:subClassOf	"sources"
15	"knowledge available sources"	rdfs:subClassOf	"available sources"
15	"variety of knowledge available sources"	local:of_knowledgeavailablesources	"variety"
15	"variety of knowledge available sources"	local:variety_of	"knowledge available sources"
15	"available on web"	local:on_web	"available"
15	"available on web"	local:available_on	"web"
15	"taking"	vn.role:Source	"variety of knowledge available sources"
16	"novel approach"	rdfs:subClassOf	"approach"
16	"novel"	rdfs:member	"novel approach"
16	"improves"	vn.role:Agent	"novel approach"
16	"topic"	rdfs:member	"topic networks"
16	"earlier work"	rdfs:subClassOf	"work"
16	"automatic"	rdfs:member	"automatic generation"
16	"semantic topic networks"	rdfs:subClassOf	"networks"
16	"earlier"	rdfs:member	"earlier work"
16	"semantic"	rdfs:member	"semantic topic"
16	"semantic topic"	rdfs:member	"semantic topic networks"
16	"automatic generation"	rdfs:subClassOf	"generation"
16	"topic networks"	rdfs:subClassOf	"networks"
16	"semantic topic"	rdfs:subClassOf	"topic"
16	"semantic topic networks"	rdfs:subClassOf	"topic networks"
16	"earlier work on automatic generation"	local:on_automaticgeneration	"earlier work"
16	"earlier work on automatic generation"	local:earlierwork_on	"automatic generation"
16	"automatic generation of semantic topic networks"	local:of_semantictopicnetworks	"automatic generation"
16	"automatic generation of semantic topic networks"	local:automaticgeneration_of	"semantic topic networks"
16	"improves"	vn.role:Instrument	"earlier work on automatic generation"
17	"novel approach"	rdfs:subClassOf	"approach"
17	"novel"	rdfs:member	"novel approach"
17	"improves"	vn.role:Agent	"novel approach"
17	"aforementioned limitations"	rdfs:subClassOf	"limitations"
17	"earlier work"	rdfs:subClassOf	"work"
17	"aforementioned"	rdfs:member	"aforementioned limitations"
17	"earlier"	rdfs:member	"earlier work"
17	"earlier work on addresses"	local:on_addresses	"earlier work"
17	"earlier work on addresses"	local:earlierwork_on	"addresses"
17	"improves"	vn.role:Instrument	"earlier work on addresses"
18	"klink-2 analyses"	rdfs:member	"klink-2 analyses networks"
18	"klink-2 analyses"	rdfs:subClassOf	"analyses"
18	"research entities"	rdfs:subClassOf	"entities"
18	"research"	rdfs:member	"research entities"
18	"analyses"	rdfs:member	"analyses networks"
18	"klink-2 analyses networks"	rdfs:subClassOf	"networks"
18	"klink-2"	rdfs:member	"klink-2 analyses"
18	"analyses networks"	rdfs:subClassOf	"networks"
18	"klink-2 analyses networks"	rdfs:subClassOf	"analyses networks"
18	"klink-2 analyses networks of research entities"	local:of_researchentities	"klink-2 analyses networks"
18	"klink-2 analyses networks of research entities"	local:klink-2analysesnetworks_of	"research entities"
18	"including"	vn.role:Location	"particular"
18	"including"	vn.role:Theme	"authors"
18	"klink-2 analyses"	rdfs:member	"klink-2 analyses networks"
18	"klink-2 analyses"	rdfs:subClassOf	"analyses"
18	"research entities"	rdfs:subClassOf	"entities"
18	"research"	rdfs:member	"research entities"
18	"analyses"	rdfs:member	"analyses networks"
18	"klink-2 analyses networks"	rdfs:subClassOf	"networks"
18	"klink-2"	rdfs:member	"klink-2 analyses"
18	"analyses networks"	rdfs:subClassOf	"networks"
18	"klink-2 analyses networks"	rdfs:subClassOf	"analyses networks"
18	"klink-2 analyses networks of research entities"	local:of_researchentities	"klink-2 analyses networks"
18	"klink-2 analyses networks of research entities"	local:klink-2analysesnetworks_of	"research entities"
18	"research entities including authors"	local:including_authors	"research entities"
18	"research entities including authors"	local:researchentities_including	"authors"
18	"infer"	vn.role:Agent	"particular"
18	"semantic"	rdfs:member	"semantic relationships"
18	"semantic relationships"	rdfs:subClassOf	"relationships"
18	"three kinds"	rdfs:subClassOf	"kinds"
18	"three kinds of semantic relationships"	local:of_semanticrelationships	"three kinds"
18	"three kinds of semantic relationships"	local:threekinds_of	"semantic relationships"
18	"semantic relationships between topics"	local:between_topics	"semantic relationships"
