11	"different usage"	rdfs:subClassOf	"usage"
11	"different"	rdfs:member	"different usage"
11	"apply."	vn.role:object	"different usage"
11	"apply."	vn.role:subject	"methods"
11	"apply."	local:AM-MOD	"would"
12	"discuss"	vn.role:Patient1	"we"
12	"various methods"	rdfs:subClassOf	"methods"
12	"knowledge requirements"	rdfs:subClassOf	"requirements"
12	"knowledge"	rdfs:member	"knowledge requirements"
12	"various"	rdfs:member	"various methods"
12	"knowledge requirements of various methods"	local:of_variousmethods	"knowledge requirements"
12	"knowledge requirements of various methods"	local:knowledgerequirements_of	"various methods"
12	"discuss"	vn.role:Patient2	"knowledge requirements of various methods"
