6	"not addressed agent current research"	local:notaddressed_agent	"current research"
6	"produce"	vn.role:Agent	"identify"
6	"interaction protocol"	rdfs:subClassOf	"protocol"
6	"interaction"	rdfs:member	"interaction protocol"
6	"interaction protocol of service"	local:of_service	"interaction protocol"
6	"interaction protocol of service"	local:interactionprotocol_of	"service"
6	"describing in response"	local:in_response	"describing"
6	"describing in response"	local:describing_in	"response"
6	"produce"	vn.role:Product	"model"
6	"interaction protocol"	rdfs:subClassOf	"protocol"
6	"interaction"	rdfs:member	"interaction protocol"
6	"interaction protocol of service"	local:of_service	"interaction protocol"
6	"interaction protocol of service"	local:interactionprotocol_of	"service"
6	"interaction protocol of service in response"	local:in_response	"interaction protocol of service"
6	"interaction protocol of service in response"	local:interactionprotocolofservice_in	"response"
6	"describing"	vn.role:Theme	"interaction protocol of service in response"
7	"multiple"	rdfs:member	"multiple parties"
7	"multiple parties"	rdfs:subClassOf	"parties"
7	"interactions of multiple parties"	local:of_multipleparties	"interactions"
7	"interactions of multiple parties"	local:interactions_of	"multiple parties"
7	"interactions of multiple parties with respect"	local:with_respect	"interactions of multiple parties"
7	"interactions of multiple parties with respect"	local:interactionsofmultipleparties_with	"respect"
7	"describe"	vn.role:Theme	"interactions of multiple parties with respect"
7	"single service"	rdfs:subClassOf	"service"
7	"single"	rdfs:member	"single service"
7	"distinguish between interactions"	local:between_interactions	"distinguish"
7	"distinguish between interactions"	local:distinguish_between	"interactions"
7	"describe"	vn.role:Predicate	"distinguish between interactions"
7	"single service"	rdfs:subClassOf	"service"
7	"single"	rdfs:member	"single service"
7	"distinguish"	vn.role:Agent	"single service"
7	"distinguish"	vn.role:Patient1	"interactions"
9	"initiated"	vn.role:Theme	"interactions"
9	"initiated"	vn.role:Agent	"clients"
10	"cooperating"	vn.role:Actor1	"services"
11	"multiple"	rdfs:member	"multiple parties"
11	"multiple parties"	rdfs:subClassOf	"parties"
11	"interactions of multiple parties"	local:of_multipleparties	"interactions"
11	"interactions of multiple parties"	local:interactions_of	"multiple parties"
11	"interactions of multiple parties with respect"	local:with_respect	"interactions of multiple parties"
11	"interactions of multiple parties with respect"	local:interactionsofmultipleparties_with	"respect"
11	"describe"	vn.role:Theme	"interactions of multiple parties with respect"
11	"service"	rdfs:member	"service state"
11	"state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:member	"description service state"
11	"single"	rdfs:member	"single service"
11	"interactions"	rdfs:member	"interactions interactions"
11	"description"	rdfs:member	"description service"
11	"description service state changes"	rdfs:subClassOf	"changes"
11	"description service"	rdfs:subClassOf	"service"
11	"description service state"	rdfs:subClassOf	"state"
11	"state"	rdfs:member	"state changes"
11	"single service"	rdfs:subClassOf	"service"
11	"service state"	rdfs:member	"service state changes"
11	"service state changes"	rdfs:subClassOf	"changes"
11	"description service state"	rdfs:member	"description service state changes"
11	"interactions interactions"	rdfs:subClassOf	"interactions"
11	"service state"	rdfs:subClassOf	"state"
11	"interacting parties"	rdfs:subClassOf	"parties"
11	"relevant changes"	rdfs:subClassOf	"changes"
11	"state relevant changes"	rdfs:subClassOf	"relevant changes"
11	"service state relevant changes"	rdfs:subClassOf	"state relevant changes"
11	"description service state relevant changes"	rdfs:subClassOf	"service state relevant changes"
