27	"relevant entity"	rdfs:member	"relevant entity type"
27	"relevant"	rdfs:member	"relevant entity"
27	"relevant entity"	rdfs:subClassOf	"entity"
27	"entity type"	rdfs:subClassOf	"type"
27	"relevant entity type"	rdfs:subClassOf	"type"
27	"relevant entity type"	rdfs:subClassOf	"entity type"
27	"relevant entity type based_on graph structure"	local:based_on_graphstructure	"relevant entity type"
27	"relevant entity type based_on graph structure"	local:relevantentitytype_based_on	"graph structure"
27	"interconnecting"	vn.role:Patient1	"relevant entity type based_on graph structure"
27	"interconnecting"	vn.role:Patient2	"types"
28	"evaluate"	vn.role:Agent	"we"
28	"graph structure"	rdfs:subClassOf	"structure"
28	"entity"	rdfs:member	"entity type"
28	"new"	rdfs:member	"new methods"
28	"most"	rdfs:member	"most relevant"
28	"graph"	rdfs:member	"graph structure"
28	"new methods"	rdfs:subClassOf	"methods"
28	"most relevant entity type"	rdfs:subClassOf	"type"
28	"relevant entity"	rdfs:member	"relevant entity type"
28	"most relevant entity"	rdfs:subClassOf	"entity"
28	"most relevant"	rdfs:subClassOf	"relevant"
28	"relevant"	rdfs:member	"relevant entity"
28	"relevant entity"	rdfs:subClassOf	"entity"
28	"most relevant"	rdfs:member	"most relevant entity"
28	"entity type"	rdfs:subClassOf	"type"
28	"relevant entity type"	rdfs:subClassOf	"type"
28	"most relevant entity"	rdfs:member	"most relevant entity type"
28	"interconnecting types"	rdfs:subClassOf	"types"
28	"relevant entity type"	rdfs:subClassOf	"entity type"
28	"relevant entity type based"	local:_based	"relevant entity type"
28	"relevant entity type based"	local:relevantentitytype_	"based"
28	"based on graph structure"	local:on_graphstructure	"based"
28	"based on graph structure"	local:based_on	"graph structure"
28	"evaluate"	vn.role:Theme	"new methods"
28	"find"	vn.role:Agent	"we"
28	"graph structure"	rdfs:subClassOf	"structure"
28	"entity"	rdfs:member	"entity type"
28	"graph"	rdfs:member	"graph structure"
28	"relevant entity"	rdfs:member	"relevant entity type"
28	"relevant"	rdfs:member	"relevant entity"
28	"relevant entity"	rdfs:subClassOf	"entity"
28	"entity type"	rdfs:subClassOf	"type"
28	"relevant entity type"	rdfs:subClassOf	"type"
28	"interconnecting types"	rdfs:subClassOf	"types"
28	"relevant entity type"	rdfs:subClassOf	"entity type"
28	"relevant entity type based"	local:_based	"relevant entity type"
28	"relevant entity type based"	local:relevantentitytype_	"based"
28	"based on graph structure"	local:on_graphstructure	"based"
28	"based on graph structure"	local:based_on	"graph structure"
28	"find"	vn.role:Theme	"relevant entity type based"
28	"entity"	rdfs:member	"entity type"
28	"relevant entity"	rdfs:member	"relevant entity type"
28	"relevant"	rdfs:member	"relevant entity"
28	"relevant entity"	rdfs:subClassOf	"entity"
28	"entity type"	rdfs:subClassOf	"type"
28	"relevant entity type"	rdfs:subClassOf	"type"
28	"relevant entity type"	rdfs:subClassOf	"entity type"
28	"based"	vn.role:Cause	"relevant entity type"
28	"graph"	rdfs:member	"graph structure"
28	"graph structure"	rdfs:subClassOf	"structure"
28	"interconnecting types"	rdfs:subClassOf	"types"
28	"structure interconnecting types"	rdfs:subClassOf	"interconnecting types"
28	"based"	local:AM-LOC	"structure interconnecting types"
28	"graph structure"	rdfs:subClassOf	"structure"
28	"entity"	rdfs:member	"entity type"
28	"new"	rdfs:member	"new methods"
28	"most"	rdfs:member	"most relevant"
28	"graph"	rdfs:member	"graph structure"
28	"new methods"	rdfs:subClassOf	"methods"
28	"most relevant entity type"	rdfs:subClassOf	"type"
28	"relevant entity"	rdfs:member	"relevant entity type"
28	"most relevant entity"	rdfs:subClassOf	"entity"
28	"most relevant"	rdfs:subClassOf	"relevant"
28	"relevant"	rdfs:member	"relevant entity"
28	"relevant entity"	rdfs:subClassOf	"entity"
28	"most relevant"	rdfs:member	"most relevant entity"
28	"entity type"	rdfs:subClassOf	"type"
28	"relevant entity type"	rdfs:subClassOf	"type"
28	"most relevant entity"	rdfs:member	"most relevant entity type"
28	"relevant entity type"	rdfs:subClassOf	"entity type"
28	"relevant entity type based_on graph structure"	local:based_on_graphstructure	"relevant entity type"
28	"relevant entity type based_on graph structure"	local:relevantentitytype_based_on	"graph structure"
28	"interconnecting"	vn.role:Patient1	"new methods"
28	"interconnecting"	vn.role:Patient2	"types"
29	"propose"	vn.role:Agent	"we"
29	"graph structure"	rdfs:subClassOf	"structure"
29	"entity"	rdfs:member	"entity type"
29	"new"	rdfs:member	"new methods"
29	"most"	rdfs:member	"most relevant"
29	"graph"	rdfs:member	"graph structure"
29	"new methods"	rdfs:subClassOf	"methods"
29	"most relevant entity type"	rdfs:subClassOf	"type"
29	"relevant entity"	rdfs:member	"relevant entity type"
29	"most relevant entity"	rdfs:subClassOf	"entity"
29	"most relevant"	rdfs:subClassOf	"relevant"
29	"relevant"	rdfs:member	"relevant entity"
29	"relevant entity"	rdfs:subClassOf	"entity"
29	"most relevant"	rdfs:member	"most relevant entity"
29	"entity type"	rdfs:subClassOf	"type"
29	"relevant entity type"	rdfs:subClassOf	"type"
29	"most relevant entity"	rdfs:member	"most relevant entity type"
29	"interconnecting entities"	rdfs:subClassOf	"entities"
29	"relevant entity type"	rdfs:subClassOf	"entity type"
29	"relevant entity type based"	local:_based	"relevant entity type"
29	"relevant entity type based"	local:relevantentitytype_	"based"
29	"based on graph structure"	local:on_graphstructure	"based"
29	"based on graph structure"	local:based_on	"graph structure"
29	"propose"	vn.role:Topic	"new methods"
29	"find"	vn.role:Agent	"we"
29	"graph structure"	rdfs:subClassOf	"structure"
29	"entity"	rdfs:member	"entity type"
29	"graph"	rdfs:member	"graph structure"
29	"relevant entity"	rdfs:member	"relevant entity type"
29	"relevant"	rdfs:member	"relevant entity"
29	"relevant entity"	rdfs:subClassOf	"entity"
29	"entity type"	rdfs:subClassOf	"type"
29	"relevant entity type"	rdfs:subClassOf	"type"
29	"interconnecting entities"	rdfs:subClassOf	"entities"
29	"relevant entity type"	rdfs:subClassOf	"entity type"
29	"relevant entity type based"	local:_based	"relevant entity type"
29	"relevant entity type based"	local:relevantentitytype_	"based"
29	"based on graph structure"	local:on_graphstructure	"based"
29	"based on graph structure"	local:based_on	"graph structure"
29	"find"	vn.role:Theme	"relevant entity type based"
29	"entity"	rdfs:member	"entity type"
29	"relevant entity"	rdfs:member	"relevant entity type"
29	"relevant"	rdfs:member	"relevant entity"
29	"relevant entity"	rdfs:subClassOf	"entity"
29	"entity type"	rdfs:subClassOf	"type"
29	"relevant entity type"	rdfs:subClassOf	"type"
29	"relevant entity type"	rdfs:subClassOf	"entity type"
29	"based"	vn.role:Cause	"relevant entity type"
29	"graph"	rdfs:member	"graph structure"
29	"graph structure"	rdfs:subClassOf	"structure"
29	"interconnecting entities"	rdfs:subClassOf	"entities"
29	"structure interconnecting entities"	rdfs:subClassOf	"interconnecting entities"
29	"based"	local:AM-LOC	"structure interconnecting entities"
29	"graph structure"	rdfs:subClassOf	"structure"
29	"entity"	rdfs:member	"entity type"
29	"graph"	rdfs:member	"graph structure"
29	"relevant entity"	rdfs:member	"relevant entity type"
29	"relevant"	rdfs:member	"relevant entity"
29	"relevant entity"	rdfs:subClassOf	"entity"
29	"entity type"	rdfs:subClassOf	"type"
29	"relevant entity type"	rdfs:subClassOf	"type"
29	"relevant entity type"	rdfs:subClassOf	"entity type"
29	"relevant entity type based_on graph structure"	local:based_on_graphstructure	"relevant entity type"
29	"relevant entity type based_on graph structure"	local:relevantentitytype_based_on	"graph structure"
29	"interconnecting"	vn.role:Patient1	"relevant entity type based_on graph structure"
29	"interconnecting"	vn.role:Patient2	"entities"
30	"evaluate"	vn.role:Agent	"we"
30	"entity"	rdfs:member	"entity type"
30	"new"	rdfs:member	"new methods"
30	"most"	rdfs:member	"most relevant"
30	"new methods"	rdfs:subClassOf	"methods"
30	"most relevant entity type"	rdfs:subClassOf	"type"
30	"relevant entity"	rdfs:member	"relevant entity type"
30	"most relevant entity"	rdfs:subClassOf	"entity"
30	"most relevant"	rdfs:subClassOf	"relevant"
30	"relevant"	rdfs:member	"relevant entity"
30	"relevant entity"	rdfs:subClassOf	"entity"
30	"most relevant"	rdfs:member	"most relevant entity"
30	"collection statistics"	rdfs:subClassOf	"statistics"
30	"entity type"	rdfs:subClassOf	"type"
30	"relevant entity type"	rdfs:subClassOf	"type"
30	"most relevant entity"	rdfs:member	"most relevant entity type"
30	"collection"	rdfs:member	"collection statistics"
