0	"used"	local:AM-MNR	"widely"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"knowledge graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"often referred"	rdfs:subClassOf	"referred"
2	"vector spaces"	rdfs:subClassOf	"spaces"
2	"often referred as knowledge graphs embeddings"	local:as_knowledgegraphsembeddings	"often referred"
2	"often referred as knowledge graphs embeddings"	local:oftenreferred_as	"knowledge graphs embeddings"
2	"embed"	vn.role:other	"often referred as knowledge graphs embeddings"
2	"represented"	local:AM-LOC	"graph"
2	"graphs"	rdfs:member	"graphs embeddings-"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"knowledge graphs"	rdfs:member	"knowledge graphs embeddings-"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"knowledge graphs embeddings-"	rdfs:subClassOf	"embeddings-"
2	"increasingly popular"	rdfs:subClassOf	"popular"
2	"have become"	rdfs:subClassOf	"become"
2	"graphs embeddings"	rdfs:subClassOf	"embeddings"
2	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
2	"often referred"	rdfs:subClassOf	"referred"
2	"vector spaces"	rdfs:subClassOf	"spaces"
2	"often referred as knowledge graphs embeddings"	local:as_knowledgegraphsembeddings	"often referred"
2	"often referred as knowledge graphs embeddings"	local:oftenreferred_as	"knowledge graphs embeddings"
2	"increasingly popular for entities"	local:for_entities	"increasingly popular"
2	"increasingly popular for entities"	local:increasinglypopular_for	"entities"
2	"represented"	vn.role:Theme	"often referred as knowledge graphs embeddings"
2	"in represented"	rdfs:subClassOf	"represented"
2	"entities in represented"	local:_inrepresented	"entities"
2	"entities in represented"	local:entities_	"in represented"
2	"represented"	vn.role:Theme	"entities in represented"
2	"graph"	rdfs:member	"graph graph"
2	"graph graph"	rdfs:subClassOf	"graph"
2	"represented"	vn.role:Theme	"graph graph"
2	"vector vector"	rdfs:subClassOf	"vector"
2	"vector"	rdfs:member	"vector vector"
2	"often spaces"	rdfs:subClassOf	"spaces"
