6	"knowledge management"	rdfs:member	"knowledge management mechanism"
6	"knowledge"	rdfs:member	"knowledge management"
6	"management"	rdfs:member	"management mechanism"
6	"de-facto standard"	rdfs:subClassOf	"standard"
6	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
6	"reactive knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
6	"de-facto standard for organisation"	local:for_organisation	"de-facto standard"
6	"de-facto standard for organisation"	local:de-factostandard_for	"organisation"
6	"organisation of such resources"	local:of_suchresources	"organisation"
6	"organisation of such resources"	local:organisation_of	"such resources"
6	"de-facto standard for organisation providing"	local:_providing	"de-facto standard for organisation"
6	"de-facto standard for organisation providing"	local:de-factostandardfororganisation_	"providing"
6	"emerged"	vn.role:Location	"de-facto standard for organisation providing"
6	"such"	rdfs:member	"such resources"
6	"such resources"	rdfs:subClassOf	"resources"
6	"organisation of such resources"	local:of_suchresources	"organisation"
6	"organisation of such resources"	local:organisation_of	"such resources"
6	"providing"	vn.role:Recipient	"organisation of such resources"
6	"reactive knowledge management"	rdfs:member	"reactive knowledge management mechanism"
6	"reactive knowledge management"	rdfs:subClassOf	"management"
6	"reactive knowledge"	rdfs:member	"reactive knowledge management"
6	"reactive knowledge management mechanism"	rdfs:subClassOf	"mechanism"
6	"reactive"	rdfs:member	"reactive knowledge"
6	"knowledge management mechanism"	rdfs:subClassOf	"mechanism"
6	"knowledge management"	rdfs:subClassOf	"management"
6	"management mechanism"	rdfs:subClassOf	"mechanism"
6	"reactive knowledge"	rdfs:subClassOf	"knowledge"
6	"knowledge management"	rdfs:member	"knowledge management mechanism"
6	"knowledge"	rdfs:member	"knowledge management"
6	"management"	rdfs:member	"management mechanism"
6	"knowledge management mechanism"	rdfs:subClassOf	"management mechanism"
6	"reactive knowledge management mechanism"	rdfs:subClassOf	"knowledge management mechanism"
6	"providing"	vn.role:Agent	"reactive knowledge management mechanism"
6	"find"	vn.role:Agent	"users"
6	"find"	vn.role:Theme	"easy"
6	"understand."	vn.role:subject	"users"
7	"have"	vn.role:Experiencer	"users"
7	"multiple profiles"	rdfs:subClassOf	"profiles"
7	"multiple"	rdfs:member	"multiple profiles"
7	"have"	vn.role:Stimulus	"multiple profiles"
7	"various"	rdfs:member	"various folksonomies"
7	"various folksonomies"	rdfs:subClassOf	"folksonomies"
7	"have"	local:AM-LOC	"various folksonomies"
7	"distributing"	vn.role:Agent	"users"
7	"tagging activities"	rdfs:subClassOf	"activities"
7	"users tagging activities"	rdfs:subClassOf	"tagging activities"
7	"distributing"	vn.role:Theme	"users tagging activities"
7	"tagging"	vn.role:Agent	"users"
7	"tagging"	vn.role:Theme	"activities"
8	"present"	vn.role:Agent	"we"
8	"social networking"	rdfs:subClassOf	"networking"
8	"user profiles"	rdfs:subClassOf	"profiles"
8	"popular social"	rdfs:subClassOf	"social"
8	"networking sites"	rdfs:subClassOf	"sites"
8	"social networking sites"	rdfs:subClassOf	"sites"
8	"popular social networking sites"	rdfs:subClassOf	"sites"
8	"popular social networking"	rdfs:subClassOf	"networking"
8	"popular social"	rdfs:member	"popular social networking"
8	"user"	rdfs:member	"user profiles"
8	"popular"	rdfs:member	"popular social"
8	"social"	rdfs:member	"social networking"
8	"popular social networking"	rdfs:member	"popular social networking sites"
8	"automatic"	rdfs:member	"automatic consolidation"
8	"social networking"	rdfs:member	"social networking sites"
8	"automatic consolidation"	rdfs:subClassOf	"consolidation"
8	"networking"	rdfs:member	"networking sites"
8	"social networking sites"	rdfs:subClassOf	"networking sites"
8	"popular social networking sites"	rdfs:subClassOf	"social networking sites"
8	"two popular social networking sites"	rdfs:subClassOf	"popular social networking sites"
8	"method for automatic consolidation"	local:for_automaticconsolidation	"method"
8	"method for automatic consolidation"	local:method_for	"automatic consolidation"
8	"automatic consolidation of user profiles"	local:of_userprofiles	"automatic consolidation"
8	"automatic consolidation of user profiles"	local:automaticconsolidation_of	"user profiles"
8	"automatic consolidation of user profiles across two popular social networking sites"	local:across_twopopularsocialnetworkingsites	"automatic consolidation of user profiles"
8	"automatic consolidation of user profiles across two popular social networking sites"	local:automaticconsolidationofuserprofiles_across	"two popular social networking sites"
8	"present"	vn.role:Theme	"method for automatic consolidation"
11	"popular social"	rdfs:subClassOf	"social"
11	"social networking sites"	rdfs:subClassOf	"sites"
11	"social networking"	rdfs:member	"social networking sites"
11	"social networking sites"	rdfs:member	"social networking sites interests"
11	"networking sites"	rdfs:subClassOf	"sites"
11	"popular social networking sites"	rdfs:member	"popular social networking sites interests"
11	"semantic"	rdfs:member	"semantic modelling"
11	"popular social"	rdfs:member	"popular social networking"
11	"social"	rdfs:member	"social networking"
11	"sites"	rdfs:member	"sites interests"
11	"networking"	rdfs:member	"networking sites"
11	"social networking"	rdfs:subClassOf	"networking"
11	"networking sites interests"	rdfs:subClassOf	"interests"
11	"popular social networking sites"	rdfs:subClassOf	"sites"
11	"popular social networking"	rdfs:subClassOf	"networking"
11	"semantic modelling"	rdfs:subClassOf	"modelling"
11	"social networking sites interests"	rdfs:subClassOf	"interests"
11	"subsequent semantic modelling"	rdfs:subClassOf	"modelling"
11	"popular social networking sites interests"	rdfs:subClassOf	"interests"
11	"subsequent semantic"	rdfs:member	"subsequent semantic modelling"
11	"networking sites"	rdfs:member	"networking sites interests"
11	"subsequent"	rdfs:member	"subsequent semantic"
11	"popular social networking"	rdfs:member	"popular social networking sites"
11	"popular"	rdfs:member	"popular social"
11	"subsequent semantic"	rdfs:subClassOf	"semantic"
11	"sites interests"	rdfs:subClassOf	"interests"
11	"social networking sites"	rdfs:subClassOf	"networking sites"
11	"popular social networking sites"	rdfs:subClassOf	"social networking sites"
11	"two popular social networking sites"	rdfs:subClassOf	"popular social networking sites"
11	"subsequent semantic modelling"	rdfs:subClassOf	"semantic modelling"
11	"subsequent semantic modelling of two popular social networking sites"	local:of_twopopularsocialnetworkingsites	"subsequent semantic modelling"
11	"subsequent semantic modelling of two popular social networking sites"	local:subsequentsemanticmodelling_of	"two popular social networking sites"
11	"utilising"	vn.role:Agent	"subsequent semantic modelling of two popular social networking sites"
11	"utilising"	vn.role:Theme	"wikipedia"
11	"multi-domain model"	rdfs:subClassOf	"model"
11	"multi-domain"	rdfs:member	"multi-domain model"
11	"utilising"	local:AM-MNR	"multi-domain model"
13	"evaluate"	vn.role:Agent	"we"
13	"evaluate"	vn.role:Theme	"domains"
13	"domains"	vn.role:Agent	"we"
13	"domains"	vn.role:Theme	"knowledge"
14	"evaluate"	vn.role:Agent	"we"
14	"such sites"	rdfs:subClassOf	"sites"
14	"such"	rdfs:member	"such sites"
14	"can learned"	rdfs:subClassOf	"learned"
14	"can learned from such sites"	local:from_suchsites	"can learned"
14	"can learned from such sites"	local:canlearned_from	"such sites"
14	"evaluate"	vn.role:Theme	"can learned from such sites"
14	"learned"	local:AM-MOD	"can"
14	"learned"	vn.role:Source	"sites"
16	"show"	vn.role:Agent	"results"
16	"far richer interest profiles"	rdfs:subClassOf	"profiles"
16	"richer"	rdfs:member	"richer interest"
16	"interest"	rdfs:member	"interest profiles"
16	"interest profiles"	rdfs:subClassOf	"profiles"
16	"far richer"	rdfs:member	"far richer interest"
16	"far"	rdfs:member	"far richer"
16	"far richer interest"	rdfs:subClassOf	"interest"
16	"far richer interest"	rdfs:member	"far richer interest profiles"
16	"richer interest profiles"	rdfs:subClassOf	"profiles"
16	"richer interest"	rdfs:member	"richer interest profiles"
16	"richer interest"	rdfs:subClassOf	"interest"
16	"far richer"	rdfs:subClassOf	"richer"
16	"can generated"	rdfs:subClassOf	"generated"
16	"richer interest profiles"	rdfs:subClassOf	"interest profiles"
16	"can generated for users"	local:for_users	"can generated"
16	"can generated for users"	local:cangenerated_for	"users"
16	"show"	vn.role:Theme	"can generated for users"
16	"far richer interest profiles"	rdfs:subClassOf	"profiles"
16	"richer"	rdfs:member	"richer interest"
16	"interest"	rdfs:member	"interest profiles"
16	"interest profiles"	rdfs:subClassOf	"profiles"
16	"far richer"	rdfs:member	"far richer interest"
16	"far"	rdfs:member	"far richer"
16	"far richer interest"	rdfs:subClassOf	"interest"
16	"far richer interest"	rdfs:member	"far richer interest profiles"
16	"richer interest profiles"	rdfs:subClassOf	"profiles"
16	"richer interest"	rdfs:member	"richer interest profiles"
16	"richer interest"	rdfs:subClassOf	"interest"
16	"far richer"	rdfs:subClassOf	"richer"
16	"richer interest profiles"	rdfs:subClassOf	"interest profiles"
16	"generated"	vn.role:Theme2	"richer interest profiles"
16	"generated"	local:AM-MOD	"can"
16	"generated"	local:AM-PNC	"users"
