18	"final ontology engineering process"	rdfs:member	"final ontology engineering process duration"
18	"ontology engineering process"	rdfs:member	"ontology engineering process duration"
18	"process duration"	rdfs:subClassOf	"duration"
18	"ontology engineering"	rdfs:subClassOf	"engineering"
18	"process"	rdfs:member	"process duration"
18	"engineering"	rdfs:member	"engineering process"
18	"major impact"	rdfs:subClassOf	"impact"
18	"final ontology engineering"	rdfs:member	"final ontology engineering process"
18	"ontology engineering"	rdfs:member	"ontology engineering process"
18	"engineering process"	rdfs:subClassOf	"process"
18	"ontology engineering process"	rdfs:subClassOf	"process"
18	"final ontology engineering process duration"	rdfs:subClassOf	"duration"
18	"final ontology"	rdfs:subClassOf	"ontology"
18	"ontology engineering process duration"	rdfs:subClassOf	"duration"
18	"major"	rdfs:member	"major impact"
18	"engineering process duration"	rdfs:subClassOf	"duration"
18	"ontology"	rdfs:member	"ontology engineering"
18	"engineering process"	rdfs:member	"engineering process duration"
18	"final ontology engineering"	rdfs:subClassOf	"engineering"
18	"final"	rdfs:member	"final ontology"
18	"final ontology engineering process"	rdfs:subClassOf	"process"
18	"engineering process duration"	rdfs:subClassOf	"process duration"
18	"ontology engineering process duration"	rdfs:subClassOf	"engineering process duration"
18	"final ontology engineering process duration"	rdfs:subClassOf	"ontology engineering process duration"
18	"major impact on final ontology engineering process duration"	local:on_finalontologyengineeringprocessduration	"major impact"
18	"major impact on final ontology engineering process duration"	local:majorimpact_on	"final ontology engineering process duration"
18	"have"	vn.role:Stimulus	"major impact on final ontology engineering process duration"
19	"conceptualization"	rdfs:member	"conceptualization activities"
19	"conceptualization activities"	rdfs:subClassOf	"activities"
19	"complexity of conceptualization activities"	local:of_conceptualizationactivities	"complexity"
19	"complexity of conceptualization activities"	local:complexity_of	"conceptualization activities"
19	"proved"	vn.role:Theme	"moreover"
19	"conceptualization"	rdfs:member	"conceptualization activities"
19	"conceptualization activities"	rdfs:subClassOf	"activities"
19	"complexity of conceptualization activities"	local:of_conceptualizationactivities	"complexity"
19	"complexity of conceptualization activities"	local:complexity_of	"conceptualization activities"
19	"have"	vn.role:Experiencer	"moreover"
19	"final ontology"	rdfs:member	"final ontology engineering"
19	"final ontology engineering process"	rdfs:member	"final ontology engineering process duration"
19	"ontology engineering process"	rdfs:member	"ontology engineering process duration"
19	"process duration"	rdfs:subClassOf	"duration"
19	"ontology engineering"	rdfs:subClassOf	"engineering"
19	"process"	rdfs:member	"process duration"
19	"engineering"	rdfs:member	"engineering process"
19	"major impact"	rdfs:subClassOf	"impact"
19	"final ontology engineering"	rdfs:member	"final ontology engineering process"
19	"ontology engineering"	rdfs:member	"ontology engineering process"
19	"engineering process"	rdfs:subClassOf	"process"
19	"ontology engineering process"	rdfs:subClassOf	"process"
19	"final ontology engineering process duration"	rdfs:subClassOf	"duration"
19	"final ontology"	rdfs:subClassOf	"ontology"
19	"ontology engineering process duration"	rdfs:subClassOf	"duration"
19	"major"	rdfs:member	"major impact"
19	"engineering process duration"	rdfs:subClassOf	"duration"
19	"ontology"	rdfs:member	"ontology engineering"
19	"engineering process"	rdfs:member	"engineering process duration"
19	"final ontology engineering"	rdfs:subClassOf	"engineering"
19	"final"	rdfs:member	"final ontology"
19	"final ontology engineering process"	rdfs:subClassOf	"process"
19	"engineering process duration"	rdfs:subClassOf	"process duration"
19	"ontology engineering process duration"	rdfs:subClassOf	"engineering process duration"
19	"final ontology engineering process duration"	rdfs:subClassOf	"ontology engineering process duration"
19	"major impact on final ontology engineering process duration"	local:on_finalontologyengineeringprocessduration	"major impact"
19	"major impact on final ontology engineering process duration"	local:majorimpact_on	"final ontology engineering process duration"
19	"have"	vn.role:Stimulus	"major impact on final ontology engineering process duration"
20	"ontology"	rdfs:member	"ontology evaluation"
20	"ontology evaluation"	rdfs:subClassOf	"evaluation"
20	"complexity of ontology evaluation"	local:of_ontologyevaluation	"complexity"
20	"complexity of ontology evaluation"	local:complexity_of	"ontology evaluation"
20	"proved"	vn.role:Theme	"moreover"
20	"ontology"	rdfs:member	"ontology evaluation"
20	"ontology evaluation"	rdfs:subClassOf	"evaluation"
20	"complexity of ontology evaluation"	local:of_ontologyevaluation	"complexity"
20	"complexity of ontology evaluation"	local:complexity_of	"ontology evaluation"
20	"have"	vn.role:Experiencer	"moreover"
20	"final ontology"	rdfs:member	"final ontology engineering"
20	"final ontology engineering process"	rdfs:member	"final ontology engineering process duration"
20	"ontology engineering process"	rdfs:member	"ontology engineering process duration"
20	"process duration"	rdfs:subClassOf	"duration"
20	"ontology engineering"	rdfs:subClassOf	"engineering"
20	"process"	rdfs:member	"process duration"
20	"engineering"	rdfs:member	"engineering process"
20	"major impact"	rdfs:subClassOf	"impact"
20	"final ontology engineering"	rdfs:member	"final ontology engineering process"
20	"ontology engineering"	rdfs:member	"ontology engineering process"
20	"engineering process"	rdfs:subClassOf	"process"
20	"ontology engineering process"	rdfs:subClassOf	"process"
20	"final ontology engineering process duration"	rdfs:subClassOf	"duration"
20	"final ontology"	rdfs:subClassOf	"ontology"
20	"ontology engineering process duration"	rdfs:subClassOf	"duration"
20	"major"	rdfs:member	"major impact"
20	"engineering process duration"	rdfs:subClassOf	"duration"
20	"ontology"	rdfs:member	"ontology engineering"
20	"engineering process"	rdfs:member	"engineering process duration"
20	"final ontology engineering"	rdfs:subClassOf	"engineering"
20	"final"	rdfs:member	"final ontology"
20	"final ontology engineering process"	rdfs:subClassOf	"process"
20	"engineering process duration"	rdfs:subClassOf	"process duration"
20	"ontology engineering process duration"	rdfs:subClassOf	"engineering process duration"
20	"final ontology engineering process duration"	rdfs:subClassOf	"ontology engineering process duration"
20	"major impact on final ontology engineering process duration"	local:on_finalontologyengineeringprocessduration	"major impact"
20	"major impact on final ontology engineering process duration"	local:majorimpact_on	"final ontology engineering process duration"
20	"have"	vn.role:Stimulus	"major impact on final ontology engineering process duration"
