8	"use of owl constructs"	local:use_of	"owl constructs"
8	"use of owl constructs in large corpus"	local:in_largecorpus	"use of owl constructs"
8	"use of owl constructs in large corpus"	local:useofowlconstructs_in	"large corpus"
8	"large corpus of available ontologies"	local:of_availableontologies	"large corpus"
8	"large corpus of available ontologies"	local:largecorpus_of	"available ontologies"
8	"designed"	vn.role:Product	"new empirically version of webprotégé user interface"
8	"analysing"	vn.role:Agent	"we"
8	"publicly available"	rdfs:subClassOf	"available"
8	"available"	rdfs:member	"available ontologies"
8	"publicly"	rdfs:member	"publicly available"
8	"publicly available"	rdfs:member	"publicly available ontologies"
8	"owl constructs"	rdfs:subClassOf	"constructs"
8	"owl"	rdfs:member	"owl constructs"
8	"large corpus"	rdfs:subClassOf	"corpus"
8	"publicly available ontologies"	rdfs:subClassOf	"ontologies"
8	"large"	rdfs:member	"large corpus"
8	"available ontologies"	rdfs:subClassOf	"ontologies"
8	"use of owl constructs"	local:of_owlconstructs	"use"
8	"use of owl constructs"	local:use_of	"owl constructs"
8	"use of owl constructs in large corpus"	local:in_largecorpus	"use of owl constructs"
8	"use of owl constructs in large corpus"	local:useofowlconstructs_in	"large corpus"
8	"large corpus of available ontologies"	local:of_availableontologies	"large corpus"
8	"large corpus of available ontologies"	local:largecorpus_of	"available ontologies"
8	"analysing"	vn.role:Theme	"use of owl constructs in large corpus"
8	"user interface"	rdfs:subClassOf	"interface"
8	"new version"	rdfs:subClassOf	"version"
8	"new"	rdfs:member	"new version"
8	"user"	rdfs:member	"user interface"
8	"empirically designed"	rdfs:subClassOf	"designed"
8	"webprotégé user interface"	rdfs:subClassOf	"user interface"
8	"new version of webprotégé user interface"	local:of_webprotégéuserinterface	"new version"
8	"new version of webprotégé user interface"	local:newversion_of	"webprotégé user interface"
8	"use of owl"	local:of_owl	"use"
8	"use of owl"	local:use_of	"owl"
8	"constructs"	vn.role:Agent	"empirically designed"
8	"publicly available"	rdfs:subClassOf	"available"
8	"available"	rdfs:member	"available ontologies"
8	"publicly"	rdfs:member	"publicly available"
8	"publicly available"	rdfs:member	"publicly available ontologies"
8	"large corpus"	rdfs:subClassOf	"corpus"
8	"publicly available ontologies"	rdfs:subClassOf	"ontologies"
8	"large"	rdfs:member	"large corpus"
8	"available ontologies"	rdfs:subClassOf	"ontologies"
8	"large corpus of available ontologies"	local:of_availableontologies	"large corpus"
8	"large corpus of available ontologies"	local:largecorpus_of	"available ontologies"
8	"constructs"	local:AM-LOC	"large corpus of available ontologies"
9	"webprotégé interface"	rdfs:subClassOf	"interface"
9	"beta release"	rdfs:subClassOf	"release"
9	"new webprotégé interface"	rdfs:subClassOf	"interface"
9	"new"	rdfs:member	"new webprotégé"
9	"webprotégé"	rdfs:member	"webprotégé interface"
9	"new webprotégé"	rdfs:member	"new webprotégé interface"
9	"beta"	rdfs:member	"beta release"
9	"new webprotégé"	rdfs:subClassOf	"webprotégé"
9	"2013 january"	rdfs:subClassOf	"january"
9	"new webprotégé interface"	rdfs:subClassOf	"webprotégé interface"
9	"beta release of new webprotégé interface"	local:of_newwebprotégéinterface	"beta release"
9	"beta release of new webprotégé interface"	local:betarelease_of	"new webprotégé interface"
9	"beta release of new webprotégé interface in 2013 january"	local:in_2013january	"beta release of new webprotégé interface"
9	"beta release of new webprotégé interface in 2013 january"	local:betareleaseofnewwebprotégéinterface_in	"2013 january"
9	"uploaded"	local:AM-TMP	"since"
9	"users around world"	local:around_world	"users"
9	"users around world"	local:users_around	"world"
9	"uploaded"	vn.role:Agent	"users around world"
9	"519 ontologies"	rdfs:subClassOf	"ontologies"
9	"uploaded"	vn.role:Theme	"519 ontologies"
9	"uploaded"	vn.role:Recipient	"server"
10	"webprotégé interface"	rdfs:subClassOf	"interface"
10	"beta release"	rdfs:subClassOf	"release"
10	"new webprotégé interface"	rdfs:subClassOf	"interface"
10	"new"	rdfs:member	"new webprotégé"
10	"webprotégé"	rdfs:member	"webprotégé interface"
10	"new webprotégé"	rdfs:member	"new webprotégé interface"
10	"beta"	rdfs:member	"beta release"
10	"new webprotégé"	rdfs:subClassOf	"webprotégé"
10	"2013 january"	rdfs:subClassOf	"january"
10	"new webprotégé interface"	rdfs:subClassOf	"webprotégé interface"
10	"beta release of new webprotégé interface"	local:of_newwebprotégéinterface	"beta release"
10	"beta release of new webprotégé interface"	local:betarelease_of	"new webprotégé interface"
10	"beta release of new webprotégé interface in 2013 january"	local:in_2013january	"beta release of new webprotégé interface"
10	"beta release of new webprotégé interface in 2013 january"	local:betareleaseofnewwebprotégéinterface_in	"2013 january"
10	"created"	local:AM-TMP	"since"
10	"users around world"	local:around_world	"users"
10	"users around world"	local:users_around	"world"
10	"created"	vn.role:Agent	"users around world"
10	"519 ontologies"	rdfs:subClassOf	"ontologies"
10	"created"	vn.role:Product	"519 ontologies"
10	"created"	local:AM-LOC	"server"
11	"describe"	vn.role:Agent	"we"
11	"new tool"	rdfs:subClassOf	"tool"
11	"key features"	rdfs:subClassOf	"features"
11	"new"	rdfs:member	"new tool"
11	"key"	rdfs:member	"key features"
11	"key features of new tool"	local:of_newtool	"key features"
11	"key features of new tool"	local:keyfeatures_of	"new tool"
11	"describe"	vn.role:Theme	"key features of new tool"
14	"constructs"	vn.role:Agent	"owl"
14	"have uploaded"	rdfs:subClassOf	"uploaded"
14	"present in ontologies"	local:in_ontologies	"present"
14	"present in ontologies"	local:present_in	"ontologies"
14	"have uploaded to webprotégé"	local:to_webprotégé	"have uploaded"
14	"have uploaded to webprotégé"	local:haveuploaded_to	"webprotégé"
14	"constructs"	vn.role:Product	"present in ontologies"
14	"uploaded"	vn.role:Theme	"ontologies"
14	"uploaded"	vn.role:Agent	"users"
14	"uploaded"	vn.role:Recipient	"webprotégé"
15	"evaluate"	vn.role:Agent	"we"
15	"language"	rdfs:member	"language coverage"
15	"language coverage"	rdfs:subClassOf	"coverage"
15	"language coverage in webprotégé"	local:in_webprotégé	"language coverage"
15	"language coverage in webprotégé"	local:languagecoverage_in	"webprotégé"
15	"evaluate"	vn.role:Theme	"language coverage in webprotégé"
15	"assessing"	vn.role:Agent	"we"
15	"owl constructs"	rdfs:subClassOf	"constructs"
15	"owl"	rdfs:member	"owl constructs"
15	"well webprotégé"	rdfs:subClassOf	"webprotégé"
15	"assessing"	vn.role:Theme	"covers"
15	"well webprotégé"	rdfs:subClassOf	"webprotégé"
15	"well"	rdfs:member	"well webprotégé"
15	"covers"	vn.role:indirect_object	"well webprotégé"
15	"owl constructs"	rdfs:subClassOf	"constructs"
15	"owl"	rdfs:member	"owl constructs"
15	"covers"	vn.role:Theme2	"owl constructs"
16	"evaluate"	vn.role:Agent	"we"
16	"usability of webprotégé"	local:of_webprotégé	"usability"
16	"usability of webprotégé"	local:usability_of	"webprotégé"
16	"evaluate"	vn.role:Theme	"usability of webprotégé"
16	"usability survey"	rdfs:subClassOf	"survey"
16	"usability"	rdfs:member	"usability survey"
16	"evaluate"	local:AM-MNR	"usability survey"
17	"validates"	vn.role:Agent	"analysis"
17	"additional language constructors"	rdfs:subClassOf	"constructors"
17	"empirical design"	rdfs:subClassOf	"design"
17	"additional language"	rdfs:member	"additional language constructors"
17	"additional language"	rdfs:subClassOf	"language"
17	"additional"	rdfs:member	"additional language"
17	"empirical"	rdfs:member	"empirical design"
17	"language constructors"	rdfs:subClassOf	"constructors"
17	"language"	rdfs:member	"language constructors"
17	"additional language constructors"	rdfs:subClassOf	"language constructors"
17	"validates"	vn.role:Theme	"suggests"
17	"empirical"	rdfs:member	"empirical design"
17	"empirical design"	rdfs:subClassOf	"design"
17	"suggests"	vn.role:Theme	"empirical design"
17	"additional language constructors"	rdfs:subClassOf	"constructors"
17	"additional language"	rdfs:member	"additional language constructors"
17	"additional language"	rdfs:subClassOf	"language"
17	"additional"	rdfs:member	"additional language"
17	"language constructors"	rdfs:subClassOf	"constructors"
17	"language"	rdfs:member	"language constructors"
17	"additional language constructors"	rdfs:subClassOf	"language constructors"
17	"suggests"	vn.role:Agent	"additional language constructors"
17	"suggests"	vn.role:Theme	"explore"
17	"additional language constructors"	rdfs:subClassOf	"constructors"
17	"additional language"	rdfs:member	"additional language constructors"
17	"additional language"	rdfs:subClassOf	"language"
17	"additional"	rdfs:member	"additional language"
17	"language constructors"	rdfs:subClassOf	"constructors"
17	"language"	rdfs:member	"language constructors"
17	"additional language constructors"	rdfs:subClassOf	"language constructors"
17	"explore."	vn.role:subject	"additional language constructors"
18	"validates"	vn.role:Agent	"analysis"
18	"many"	rdfs:member	"many users"
18	"many users"	rdfs:subClassOf	"users"
18	"easy-to-use web-based"	rdfs:subClassOf	"web-based"
18	"empirical design"	rdfs:subClassOf	"design"
18	"users ontologies"	rdfs:subClassOf	"ontologies"
18	"many users"	rdfs:member	"many users ontologies"
18	"easy-to-use web-based"	rdfs:member	"easy-to-use web-based tool"
18	"users"	rdfs:member	"users ontologies"
18	"web-based"	rdfs:member	"web-based tool"
18	"easy-to-use web-based tool"	rdfs:subClassOf	"tool"
18	"web-based tool"	rdfs:subClassOf	"tool"
18	"easy-to-use"	rdfs:member	"easy-to-use web-based"
18	"empirical"	rdfs:member	"empirical design"
18	"many users ontologies"	rdfs:subClassOf	"ontologies"
18	"editing users ontologies"	rdfs:subClassOf	"users ontologies"
18	"easy-to-use web-based tool"	rdfs:subClassOf	"web-based tool"
18	"validates"	vn.role:Location	"demonstrates"
18	"empirical"	rdfs:member	"empirical design"
18	"empirical design"	rdfs:subClassOf	"design"
18	"demonstrates"	vn.role:Recipient	"empirical design"
18	"many"	rdfs:member	"many users"
18	"many users"	rdfs:subClassOf	"users"
18	"easy-to-use web-based"	rdfs:subClassOf	"web-based"
18	"users ontologies"	rdfs:subClassOf	"ontologies"
18	"many users"	rdfs:member	"many users ontologies"
18	"users"	rdfs:member	"users ontologies"
18	"web-based"	rdfs:member	"web-based tool"
18	"easy-to-use web-based tool"	rdfs:subClassOf	"tool"
18	"web-based tool"	rdfs:subClassOf	"tool"
18	"easy-to-use"	rdfs:member	"easy-to-use web-based"
18	"easy-to-use web-based"	rdfs:member	"easy-to-use web-based tool"
18	"many users ontologies"	rdfs:subClassOf	"ontologies"
18	"editing users ontologies"	rdfs:subClassOf	"users ontologies"
18	"easy-to-use web-based tool"	rdfs:subClassOf	"web-based tool"
18	"demonstrates"	vn.role:Cause	"sufficient"
18	"many"	rdfs:member	"many users"
18	"many users"	rdfs:subClassOf	"users"
18	"start"	vn.role:Agent	"many users"
18	"many"	rdfs:member	"many users"
18	"many users"	rdfs:subClassOf	"users"
18	"users ontologies"	rdfs:subClassOf	"ontologies"
18	"many users"	rdfs:member	"many users ontologies"
18	"users"	rdfs:member	"users ontologies"
18	"many users ontologies"	rdfs:subClassOf	"ontologies"
18	"editing users ontologies"	rdfs:subClassOf	"users ontologies"
18	"start"	vn.role:Theme	"editing users ontologies"
18	"many"	rdfs:member	"many users"
18	"many users"	rdfs:subClassOf	"users"
18	"editing"	vn.role:Agent	"many users"
18	"many"	rdfs:member	"many users"
18	"many users"	rdfs:subClassOf	"users"
18	"users ontologies"	rdfs:subClassOf	"ontologies"
18	"many users"	rdfs:member	"many users ontologies"
18	"users"	rdfs:member	"users ontologies"
18	"many users ontologies"	rdfs:subClassOf	"ontologies"
18	"editing"	vn.role:Patient	"ontologies"
19	"easy-to-use web-based"	rdfs:subClassOf	"web-based"
19	"web-based"	rdfs:member	"web-based tool"
19	"easy-to-use web-based tool"	rdfs:subClassOf	"tool"
19	"web-based tool"	rdfs:subClassOf	"tool"
19	"easy-to-use"	rdfs:member	"easy-to-use web-based"
19	"easy-to-use web-based"	rdfs:member	"easy-to-use web-based tool"
19	"easy-to-use web-based tool"	rdfs:subClassOf	"web-based tool"
19	"covers"	vn.role:indirect_object	"easy-to-use web-based tool"
19	"owl constructs"	rdfs:subClassOf	"constructs"
19	"owl"	rdfs:member	"owl constructs"
19	"used owl constructs"	rdfs:subClassOf	"owl constructs"
19	"frequently used"	rdfs:subClassOf	"used"
19	"covers"	vn.role:Theme2	"used owl constructs"
19	"used"	local:AM-TMP	"frequently"
19	"owl constructs"	rdfs:subClassOf	"constructs"
19	"owl"	rdfs:member	"owl constructs"
19	"used"	vn.role:Theme	"owl constructs"
