00.4	"relevant ontologies"	rdfs:subClassOf	"ontologies"
00.4	"potentially"	rdfs:member	"potentially relevant"
00.4	"potentially relevant ontologies"	rdfs:subClassOf	"ontologies"
00.4	"potentially relevant"	rdfs:member	"potentially relevant ontologies"
00.4	"relevant"	rdfs:member	"relevant ontologies"
00.4	"retrieving"	vn.role:Theme	"relevant ontologies"
00.6	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.6	"evaluate"	vn.role:Theme	"existing ontologies"
00.6	"libraries"	rdfs:member	"libraries relevance"
00.6	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
00.6	"ontology"	rdfs:member	"ontology libraries"
00.6	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.6	"ontology libraries"	rdfs:subClassOf	"libraries"
00.6	"libraries relevance"	rdfs:subClassOf	"relevance"
00.6	"knowledge"	rdfs:member	"knowledge engineer"
00.6	"ontology libraries"	rdfs:member	"ontology libraries relevance"
00.6	"relevance libraries"	rdfs:subClassOf	"libraries"
00.6	"relevance libraries terms"	rdfs:subClassOf	"terms"
00.6	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
00.6	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
00.6	"relevance to needs"	local:to_needs	"relevance"
00.6	"relevance to needs"	local:relevance_to	"needs"
00.6	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.6	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.6	"evaluate"	local:AM-MNR	"relevance libraries terms"
00.6	"libraries"	rdfs:member	"libraries relevance"
00.6	"ontology libraries relevance"	rdfs:subClassOf	"relevance"
00.6	"ontology"	rdfs:member	"ontology libraries"
00.6	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.6	"ontology libraries"	rdfs:subClassOf	"libraries"
00.6	"libraries relevance"	rdfs:subClassOf	"relevance"
00.6	"knowledge"	rdfs:member	"knowledge engineer"
00.6	"ontology libraries"	rdfs:member	"ontology libraries relevance"
00.6	"relevance libraries"	rdfs:subClassOf	"libraries"
00.6	"relevance libraries terms"	rdfs:subClassOf	"terms"
00.6	"ontology relevance libraries"	rdfs:subClassOf	"relevance libraries"
00.6	"a ontology relevance libraries"	rdfs:subClassOf	"ontology relevance libraries"
00.6	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.6	"existing ontologies in relevance libraries terms"	local:in_relevancelibrariesterms	"existing ontologies"
00.6	"existing ontologies in relevance libraries terms"	local:existingontologies_in	"relevance libraries terms"
00.6	"relevance to needs"	local:to_needs	"relevance"
00.6	"relevance to needs"	local:relevance_to	"needs"
00.6	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.6	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.6	"rank"	vn.role:Theme	"existing ontologies in relevance libraries terms"
00.6	"existing"	vn.role:Location	"ontologies"
00.7	"existing ontologies"	rdfs:subClassOf	"ontologies"
00.7	"evaluate"	vn.role:Theme	"existing ontologies"
00.7	"search engines"	rdfs:subClassOf	"engines"
00.7	"search"	rdfs:member	"search engines"
00.7	"engines terms"	rdfs:subClassOf	"terms"
00.7	"a search engines"	rdfs:subClassOf	"search engines"
00.7	"evaluate"	local:AM-MNR	"engines terms"
00.7	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.7	"knowledge"	rdfs:member	"knowledge engineer"
00.7	"relevance to needs"	local:to_needs	"relevance"
00.7	"relevance to needs"	local:relevance_to	"needs"
00.7	"needs of knowledge engineer"	local:of_knowledgeengineer	"needs"
00.7	"needs of knowledge engineer"	local:needs_of	"knowledge engineer"
00.7	"evaluate"	vn.role:Theme	"relevance to needs"
00.7	"engines relevance"	rdfs:subClassOf	"relevance"
00.7	"knowledge engineer"	rdfs:subClassOf	"engineer"
00.7	"search engines"	rdfs:subClassOf	"engines"
00.7	"engines"	rdfs:member	"engines relevance"
00.7	"search engines"	rdfs:member	"search engines relevance"
00.7	"knowledge"	rdfs:member	"knowledge engineer"
00.7	"search"	rdfs:member	"search engines"
00.7	"search engines relevance"	rdfs:subClassOf	"relevance"
00.7	"relevance terms"	rdfs:subClassOf	"terms"
00.7	"search engines relevance"	rdfs:subClassOf	"engines relevance"
00.7	"a search engines relevance"	rdfs:subClassOf	"search engines relevance"
