15	"effectively evaluated"	rdfs:subClassOf	"evaluated"
15	"effectively evaluated over web"	local:over_web	"effectively evaluated"
15	"effectively evaluated over web"	local:effectivelyevaluated_over	"web"
15	"web of linked data"	local:of_linkeddata	"web"
15	"web of linked data"	local:web_of	"linked data"
15	"ensured"	local:AM-PNC	"procedure"
15	"linked data"	rdfs:subClassOf	"data"
15	"effectively evaluated"	rdfs:subClassOf	"evaluated"
15	"effectively evaluated over web"	local:over_web	"effectively evaluated"
15	"effectively evaluated over web"	local:effectivelyevaluated_over	"web"
15	"web of linked data"	local:of_linkeddata	"web"
15	"web of linked data"	local:web_of	"linked data"
15	"have"	vn.role:Stimulus	"procedure"
15	"sufficient"	rdfs:member	"sufficient condition"
15	"problem"	rdfs:member	"problem queries"
15	"syntactic sufficient"	rdfs:subClassOf	"sufficient"
15	"syntactic"	rdfs:member	"syntactic sufficient"
15	"problem queries"	rdfs:subClassOf	"queries"
15	"syntactic sufficient condition"	rdfs:subClassOf	"condition"
15	"sufficient condition"	rdfs:subClassOf	"condition"
15	"syntactic sufficient"	rdfs:member	"syntactic sufficient condition"
15	"syntactic sufficient condition"	rdfs:subClassOf	"sufficient condition"
15	"evaluated"	vn.role:Theme	"syntactic sufficient condition"
15	"evaluated"	vn.role:Theme	"procedure"
15	"evaluated"	local:AM-MNR	"effectively"
15	"linked data"	rdfs:subClassOf	"data"
15	"web of linked data"	local:of_linkeddata	"web"
15	"web of linked data"	local:web_of	"linked data"
15	"evaluated"	local:AM-LOC	"web of linked data"
16	"satisfying"	vn.role:Experiencer	"queries"
16	"sufficient"	rdfs:member	"sufficient condition"
16	"syntactic sufficient"	rdfs:subClassOf	"sufficient"
16	"syntactic"	rdfs:member	"syntactic sufficient"
16	"syntactic sufficient condition"	rdfs:subClassOf	"condition"
16	"sufficient condition"	rdfs:subClassOf	"condition"
16	"syntactic sufficient"	rdfs:member	"syntactic sufficient condition"
16	"syntactic sufficient condition"	rdfs:subClassOf	"sufficient condition"
16	"satisfying"	vn.role:Cause	"syntactic sufficient condition"
17	"study"	vn.role:Agent	"we"
17	"study"	local:AM-MNR	"formally"
17	"issue queries"	rdfs:subClassOf	"queries"
17	"issue"	rdfs:member	"issue queries"
17	"study"	vn.role:Theme	"ensured"
17	"linked data"	rdfs:subClassOf	"data"
17	"effectively evaluated"	rdfs:subClassOf	"evaluated"
17	"effectively evaluated over web"	local:over_web	"effectively evaluated"
17	"effectively evaluated over web"	local:effectivelyevaluated_over	"web"
17	"web of linked data"	local:of_linkeddata	"web"
17	"web of linked data"	local:web_of	"linked data"
17	"study"	local:AM-PNC	"procedure"
17	"issue queries"	rdfs:subClassOf	"queries"
17	"issue"	rdfs:member	"issue queries"
17	"formally study"	rdfs:subClassOf	"study"
17	"ensured"	vn.role:Theme	"formally study"
17	"issue queries"	rdfs:subClassOf	"queries"
17	"issue"	rdfs:member	"issue queries"
17	"formally study"	rdfs:subClassOf	"study"
17	"have"	vn.role:Experiencer	"formally study"
17	"linked data"	rdfs:subClassOf	"data"
17	"effectively evaluated"	rdfs:subClassOf	"evaluated"
17	"effectively evaluated over web"	local:over_web	"effectively evaluated"
