12	"processing"	vn.role:Agent	"three well-known federated query"
12	"engines– darq"	rdfs:subClassOf	"darq"
12	"engines–"	rdfs:member	"engines– darq"
12	"processing"	vn.role:Theme	"engines"
13	"extend"	vn.role:Agent	"we"
13	"query processing"	rdfs:member	"query processing engines"
13	"query"	rdfs:member	"query processing"
13	"query processing"	rdfs:subClassOf	"processing"
13	"processing"	rdfs:member	"processing engines"
13	"processing engines"	rdfs:subClassOf	"engines"
13	"query processing engines"	rdfs:subClassOf	"engines"
13	"original approaches"	rdfs:subClassOf	"approaches"
13	"original"	rdfs:member	"original approaches"
13	"query processing engines"	rdfs:subClassOf	"processing engines"
13	"federated query processing engines"	rdfs:subClassOf	"query processing engines"
13	"well-known federated query processing engines"	rdfs:subClassOf	"federated query processing engines"
13	"three well-known federated query processing engines"	rdfs:subClassOf	"well-known federated query processing engines"
13	"extensions with original approaches"	local:with_originalapproaches	"extensions"
13	"extensions with original approaches"	local:extensions_with	"original approaches"
13	"extend"	vn.role:Theme	"compare"
13	"query processing"	rdfs:member	"query processing engines"
13	"query"	rdfs:member	"query processing"
13	"query processing"	rdfs:subClassOf	"processing"
13	"processing"	rdfs:member	"processing engines"
13	"processing engines"	rdfs:subClassOf	"engines"
13	"query processing engines"	rdfs:subClassOf	"engines"
13	"query processing engines"	rdfs:subClassOf	"processing engines"
13	"federated query processing engines"	rdfs:subClassOf	"query processing engines"
13	"well-known federated query processing engines"	rdfs:subClassOf	"federated query processing engines"
13	"three well-known federated query processing engines"	rdfs:subClassOf	"well-known federated query processing engines"
13	"compare"	vn.role:Agent	"three well-known federated query processing engines"
13	"original approaches"	rdfs:subClassOf	"approaches"
13	"original"	rdfs:member	"original approaches"
13	"extensions with original approaches"	local:with_originalapproaches	"extensions"
13	"extensions with original approaches"	local:extensions_with	"original approaches"
13	"compare"	vn.role:Agent	"extensions with original approaches"
14	"sent"	vn.role:Theme	"queries"
14	"sent"	vn.role:Destination	"endpoints"
15	"shows"	vn.role:Agent	"comparison"
15	"query recall"	rdfs:subClassOf	"recall"
15	"high query"	rdfs:member	"high query recall"
15	"recall"	rdfs:member	"recall values"
15	"high query recall values"	rdfs:subClassOf	"values"
15	"high query recall"	rdfs:member	"high query recall values"
15	"high"	rdfs:member	"high query"
15	"query recall"	rdfs:member	"query recall values"
15	"recall values"	rdfs:subClassOf	"values"
15	"query"	rdfs:member	"query recall"
15	"query recall values"	rdfs:subClassOf	"values"
15	"high query"	rdfs:subClassOf	"query"
15	"high query recall"	rdfs:subClassOf	"recall"
15	"query recall values"	rdfs:subClassOf	"recall values"
15	"high query recall values"	rdfs:subClassOf	"query recall values"
15	"greatly reduce"	rdfs:subClassOf	"reduce"
15	"can greatly reduce"	rdfs:subClassOf	"greatly reduce"
15	"number of queries"	local:of_queries	"number"
15	"number of queries"	local:number_of	"queries"
15	"shows"	vn.role:Theme	"can greatly reduce"
15	"reduce"	vn.role:Cause	"daw"
15	"reduce"	local:AM-MOD	"can"
15	"reduce"	local:AM-MNR	"greatly"
15	"number of queries"	local:of_queries	"number"
15	"number of queries"	local:number_of	"queries"
15	"reduce"	vn.role:Patient	"number of queries"
15	"query recall"	rdfs:subClassOf	"recall"
15	"high query"	rdfs:member	"high query recall"
15	"recall"	rdfs:member	"recall values"
15	"high query recall values"	rdfs:subClassOf	"values"
