7	"state-of-the-art method"	rdfs:subClassOf	"method"
7	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
7	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
7	"outperforming"	vn.role:Theme2	"current state-of-the-art method"
8	"evaluate"	vn.role:Agent	"we"
8	"very high precision"	rdfs:subClassOf	"precision"
8	"high precision"	rdfs:subClassOf	"precision"
8	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
8	"current state-of-the-art method"	rdfs:subClassOf	"method"
8	"relationship duplicates"	rdfs:subClassOf	"duplicates"
8	"state-of-the-art method"	rdfs:subClassOf	"method"
8	"very high"	rdfs:subClassOf	"high"
8	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
8	"existing relationship"	rdfs:subClassOf	"relationship"
8	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
8	"technique on dbpedia"	local:on_dbpedia	"technique"
8	"technique on dbpedia"	local:technique_on	"dbpedia"
8	"duplicates with high precision"	local:with_highprecision	"duplicates"
8	"duplicates with high precision"	local:duplicates_with	"high precision"
8	"evaluate"	vn.role:Theme	"technique on dbpedia"
8	"technique"	vn.role:Agent	"we"
8	"very high precision"	rdfs:subClassOf	"precision"
8	"high precision"	rdfs:subClassOf	"precision"
8	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
8	"current state-of-the-art method"	rdfs:subClassOf	"method"
8	"relationship duplicates"	rdfs:subClassOf	"duplicates"
8	"state-of-the-art method"	rdfs:subClassOf	"method"
8	"very high"	rdfs:subClassOf	"high"
8	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
8	"existing relationship"	rdfs:subClassOf	"relationship"
8	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
8	"duplicates with high precision"	local:with_highprecision	"duplicates"
8	"duplicates with high precision"	local:duplicates_with	"high precision"
8	"technique"	vn.role:Recipient	"dbpedia"
8	"identify"	vn.role:Agent	"we"
8	"very high precision"	rdfs:subClassOf	"precision"
8	"high precision"	rdfs:subClassOf	"precision"
8	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
8	"current state-of-the-art method"	rdfs:subClassOf	"method"
8	"relationship duplicates"	rdfs:subClassOf	"duplicates"
8	"state-of-the-art method"	rdfs:subClassOf	"method"
8	"very high"	rdfs:subClassOf	"high"
8	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
8	"existing relationship"	rdfs:subClassOf	"relationship"
8	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
8	"duplicates with high precision"	local:with_highprecision	"duplicates"
8	"duplicates with high precision"	local:duplicates_with	"high precision"
8	"identify"	vn.role:Theme	"duplicates with high precision"
8	"existing"	vn.role:Location	"relationship"
8	"high precision"	rdfs:subClassOf	"precision"
8	"very high precision"	rdfs:subClassOf	"precision"
8	"very high"	rdfs:subClassOf	"high"
8	"relationship duplicates"	rdfs:subClassOf	"duplicates"
8	"existing relationship"	rdfs:subClassOf	"relationship"
8	"hundreds existing relationship"	rdfs:subClassOf	"existing relationship"
8	"duplicates with high precision"	local:with_highprecision	"duplicates"
8	"duplicates with high precision"	local:duplicates_with	"high precision"
8	"outperforming"	vn.role:Theme1	"duplicates with high precision"
8	"current state-of-the-art method"	rdfs:subClassOf	"method"
8	"state-of-the-art method"	rdfs:subClassOf	"method"
8	"current state-of-the-art"	rdfs:subClassOf	"state-of-the-art"
8	"current state-of-the-art method"	rdfs:subClassOf	"state-of-the-art method"
8	"outperforming"	vn.role:Theme2	"current state-of-the-art method"
