9	"removed"	local:AM-TMP	"ideally small"
9	"removed"	vn.role:Theme	"subsets"
9	"ideally small"	rdfs:subClassOf	"small"
9	"small -rrb-"	rdfs:member	"small -rrb- subsets"
9	"small -rrb-"	rdfs:subClassOf	"-rrb-"
9	"hot spots"	rdfs:subClassOf	"spots"
9	"-rrb- subsets"	rdfs:subClassOf	"subsets"
9	"ideally small"	rdfs:member	"ideally small -rrb-"
9	"ideally small -rrb- subsets"	rdfs:subClassOf	"subsets"
9	"small"	rdfs:member	"small -rrb-"
9	"hot"	rdfs:member	"hot spots"
9	"ideally small -rrb-"	rdfs:subClassOf	"-rrb-"
9	"-rrb-"	rdfs:member	"-rrb- subsets"
9	"small -rrb- subsets"	rdfs:subClassOf	"subsets"
9	"ideally"	rdfs:member	"ideally small"
9	"ideally small -rrb-"	rdfs:member	"ideally small -rrb- subsets"
9	"small -rrb- subsets"	rdfs:subClassOf	"-rrb- subsets"
9	"ideally small -rrb- subsets"	rdfs:subClassOf	"small -rrb- subsets"
9	"removed"	vn.role:Source	"ontology"
9	"designate"	vn.role:Theme	"ontology"
9	"designate"	vn.role:Agent	"we"
9	"designate"	local:AM-MNR	"ideally"
9	"small -rrb-"	rdfs:member	"small -rrb- subsets"
9	"small -rrb-"	rdfs:subClassOf	"-rrb-"
9	"-rrb- subsets"	rdfs:subClassOf	"subsets"
9	"hot spots"	rdfs:subClassOf	"spots"
9	"small"	rdfs:member	"small -rrb-"
9	"hot"	rdfs:member	"hot spots"
9	"-rrb-"	rdfs:member	"-rrb- subsets"
9	"small -rrb- subsets"	rdfs:subClassOf	"subsets"
9	"small -rrb- subsets"	rdfs:subClassOf	"-rrb- subsets"
9	"designate"	vn.role:Theme	"small -rrb- subsets"
10	"ideally small"	rdfs:subClassOf	"small"
10	"removed"	local:AM-TMP	"ideally small"
10	"removed"	vn.role:Theme	"subsets"
10	"-rrb- subsets"	rdfs:subClassOf	"subsets"
10	"hot spots"	rdfs:subClassOf	"spots"
10	"such"	rdfs:member	"such -rrb-"
10	"such -rrb-"	rdfs:member	"such -rrb- subsets"
10	"hot"	rdfs:member	"hot spots"
10	"-rrb-"	rdfs:member	"-rrb- subsets"
10	"such -rrb-"	rdfs:subClassOf	"-rrb-"
10	"such -rrb- subsets"	rdfs:subClassOf	"subsets"
10	"such -rrb- subsets"	rdfs:subClassOf	"-rrb- subsets"
10	"removed"	vn.role:Source	"ontology"
10	"designate"	vn.role:Predicate	"ontology"
10	"designate"	vn.role:Agent	"we"
