13	"choreography"	vn.role:Theme	"based"
13	"overall"	rdfs:member	"overall design"
13	"overall design"	rdfs:subClassOf	"design"
13	"choreography framework"	rdfs:subClassOf	"framework"
13	"overall design of choreography framework"	local:of_choreographyframework	"overall design"
13	"overall design of choreography framework"	local:overalldesign_of	"choreography framework"
13	"based"	vn.role:Cause	"overall design of choreography framework"
13	"formal semantics"	rdfs:subClassOf	"semantics"
13	"formal"	rdfs:member	"formal semantics"
13	"based"	vn.role:indirect_object	"has"
13	"has"	vn.role:Experiencer	"actor"
13	"formal semantics"	rdfs:subClassOf	"semantics"
13	"formal"	rdfs:member	"formal semantics"
13	"has"	vn.role:Stimulus	"formal semantics"
14	"has"	vn.role:Experiencer	"framework"
14	"full implementation"	rdfs:subClassOf	"implementation"
14	"example"	rdfs:member	"example application"
14	"full"	rdfs:member	"full implementation"
14	"example application"	rdfs:subClassOf	"application"
14	"illustrate through example application"	local:through_exampleapplication	"illustrate"
14	"illustrate through example application"	local:illustrate_through	"example application"
14	"has"	vn.role:Stimulus	"full implementation"
14	"full implementation"	rdfs:subClassOf	"implementation"
14	"full"	rdfs:member	"full implementation"
14	"illustrate"	vn.role:Theme	"full implementation"
14	"illustrate"	vn.role:Agent	"we"
14	"example"	rdfs:member	"example application"
14	"example application"	rdfs:subClassOf	"application"
14	"illustrate"	local:AM-MNR	"example application"
